ID,施設・サービス名,種類名,タグ,障害福祉サービス等事業所番号,法人の名称,事業所名カナ,郵便番号,所在地,指定年月日,電話番号,FAX番号,移動・地域活動支援事業所番号,地域活動支援事業の定員,法人の種類,身体,知的,精神,難病,障害児,給食,入浴,送迎
23900110001024,グランエミシス中川下之一色,共同生活援助,中川,2321300382,株式会社エナジィー,グランエミシスナカガワシモノイッシキ,454-0945,愛知県名古屋市中川区下之一色町字西ノ切61番地の7,2021/12/1,052-890-3940,052-890-3941,,,営利法人,,,,,,,,
23900110000423,グループホーム　ロンド・ベル,共同生活援助,北,2327300287,一般社団法人でぃすかばりー,グループホーム ロンド・ベル,462-0014,愛知県名古屋市北区楠味鋺五丁目2311番地,2021/12/1,052-325-8550,052-325-8560,,,社団・財団,,,,,,,,
23900110002279,ふくふく,共同生活援助,南,2328100199,合同会社福祉家,フクフク,457-0012,愛知県名古屋市南区菊住二丁目16番22号,2021/12/1,052-824-0054,052-433-4170,,,営利法人,,,,,,,,
23900110000361,マリアナちゃん,共同生活援助,中村,2320100320,一般社団法人アースエンジェルケアサポート,マリアナチャン,453-0058,愛知県名古屋市中村区城屋敷町4丁目5番地の1,2021/11/1,052-411-3815,052-412-9575,,,社団・財団,,,,,,,,
23900110000010,あい・らいふ,共同生活援助,緑,2328500174,ＦＧマネジメント株式会社,アイ・ライフ,458-0037,愛知県名古屋市緑区潮見が丘一丁目45番地,2021/11/1,080-1610-0790,052-737-7303,,,営利法人,,,,,,,,
23900110001089,こだまのいえ中村稲葉地,共同生活援助,中村,2320100304,株式会社クリードケア,コダマノイエナカムライナバジ,453-0057,愛知県名古屋市中村区稲葉地本通2丁目13番地の2,2021/10/1,052-770-9408,052-911-5035,,,営利法人,,,,,,,,
23900110000195,ソーシャルインクルーホーム名古屋熊野町,共同生活援助(日中サービス支援型),中村,2320100312,ソーシャルインクルー株式会社,ソーシャルインクルーホームナゴヤクマノチョウ,453-0814,愛知県名古屋市中村区熊野町3丁目1番地,2021/10/1,052-482-3336,052-482-3337,,,営利法人,,,,,,,,
23900110001513,ひまわりの家２,共同生活援助,中川,2321300374,株式会社ひまわり,ヒマワリノイエニ,454-0904,愛知県名古屋市中川区八田本町26番地フローラルガーデン601,2021/10/1,052-750-5175,052-750-5176,,,営利法人,,,,,,,,
23900110003026,グループホームあいりす,共同生活援助,天白,2326400286,特定非営利活動法人Ｓｏｃｉａｌ　Ｇｏｏｄ,グループホームアイリス,468-0001,愛知県名古屋市天白区植田山四丁目1008番地の2,2021/10/1,052-846-7900,052-846-7901,,,非営利法人（NPO）,,,,,,,,
23900110001488,デイズグループホーム名古屋千種,共同生活援助,千種,2327100141,株式会社ハルカデイズ,デイズグループホームナゴヤチクサ,464-0851,愛知県名古屋市千種区今池南9丁目12番地,2021/10/1,052-734-4011,052-734-4011,,,営利法人,,,,,,,,
23900110003108,ＲｕＲｉエン,共同生活援助,中川,2321300366,特定非営利活動法人くらし応援ネットワーク,ルリエン,454-0844,愛知県名古屋市中川区葉池町2丁目2番地,2021/9/1,052-387-6259,052-387-6259,,,非営利法人（NPO）,,,,,,,,
23900110001737,らぽーる瑞穂,共同生活援助,瑞穂,2321400117,株式会社レグザーク,ラポールミズホ,467-0875,愛知県名古屋市瑞穂区御劔町1丁目10番地,2021/9/1,052-882-3556,052-882-3556,,,営利法人,,,,,,,,
23900110002188,グループホームひがし,共同生活援助,天白,2326400278,合同会社ひがし企画,グループホームヒガシ,468-0041,愛知県名古屋市天白区保呂町1501番地コンフォート森山101号室・201号室,2021/9/1,052-847-9669,052-847-9670,,,営利法人,,,,,,,,
23900110001803,グループホームふわふわ北,共同生活援助,北,2327300279,株式会社恵,グループホームフワフワキタ,462-0015,愛知県名古屋市北区中味鋺三丁目1003番地の1,2021/9/1,052-903-7007,052-903-7007,,,営利法人,,,,,,,,
23900110003150,セブンデイズめいせい,共同生活援助,西,2320200179,特定非営利活動法人セブンデイズ,セブンデイズメイセイ,451-0064,愛知県名古屋市西区名西一丁目9番35号,2021/8/1,080-9981-9467,052-401-1285,,,非営利法人（NPO）,,,,,,,,
23900110002697,寛政の里,共同生活援助,港,2321200194,社会福祉法人昌明福祉会,カンセイノサト,455-0066,愛知県名古屋市港区寛政町6丁目25番地　寛政の里2階,2021/8/1,052-381-0032,052-381-0084,,,社会福祉法人（社協以外）,,,,,,,,
23900110001705,アイリス大森,共同生活援助,守山,2327600348,株式会社ライフフロムナウ,アイリスオオモリ,463-0023,愛知県名古屋市守山区今尻町607番地,2021/8/1,052-799-6626,052-799-6626,,,営利法人,,,,,,,,
