サービス種類,事業者名,事業所名,事業所住所,事業所電話番号,事業所番号,指定年月日,定員,圏域
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　偕行塾,グループホームおがちＢ,秋田県湯沢市下院内字常磐町125番地１,0183-56-7321,0520700113,2021/10/1,7 ,湯沢雄勝
共同生活援助(日中ｻｰﾋﾞｽ支援型),株式会社　よつば,グループホームあいあい２号館,秋田県仙北郡美郷町土崎字上野乙１８６番地,0187-88-8591,0522600048,2021/4/15,9 ,大曲仙北
共同生活援助(日中ｻｰﾋﾞｽ支援型),合同会社　笑羽,笑羽グループホーム,秋田県雄勝郡羽後町西馬音内字中町５７番地,0183-56-8037,0522800010,2021/4/1,10 ,湯沢雄勝
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　秋田いなほ福祉会,グループホームゆかり,秋田県秋田市仁井田二ツ屋二丁目１２番４２号,090-9683-7204,0520100165,2020/11/1,4 ,秋田周辺
共同生活援助(外部ｻｰﾋﾞｽ利用型),合同会社　さわやかサポート,グループホームあっぷるはうす２号館,秋田県湯沢市愛宕町三丁目２－３３,0183-56-6101,0520700105,2020/8/1,10 ,湯沢雄勝
共同生活援助(日中ｻｰﾋﾞｽ支援型),社会福祉法人　花輪ふくし会,日中サービス支援型共同生活援助事業所　きゃんぱす,秋田県大館市泉町５番５号,0186-59-4580,0520400045,2020/4/1,7 ,鹿角大館
共同生活援助(外部ｻｰﾋﾞｽ利用型),特定非営利活動法人　湯雄福祉会,共同生活援助施設　グループホームあじさい,秋田県湯沢市愛宕町五丁目２番７号,0183-56-7220,0520700097,2020/4/1,9 ,湯沢雄勝
共同生活援助(日中ｻｰﾋﾞｽ支援型),有限会社　ふぁみりぃ,グループホーム　しるべ,秋田県大仙市四ツ屋字下新谷地１５０－１,0187-73-6535,0521200055,2020/4/1,9 ,大曲仙北
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　交楽会,指定共同生活援助事業所　もりの郷,秋田県北秋田市小又字平里６３番地,0186-75-3300,0521300046,2020/4/1,15 ,北秋田
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　偕行塾,グループホーム　おがちＡ,秋田県湯沢市寺沢字東９０番地１,0183-56-7721,0520700089,2019/12/1,7 ,湯沢雄勝
共同生活援助(日中ｻｰﾋﾞｽ支援型),特定非営利活動法人　障がい者自立生活センター「ほっと大仙」,グループホーム　銀のさじ,秋田県大仙市大曲上栄町１１番２号,0187-73-6568,0521200048,2019/11/1,7 ,大曲仙北
共同生活援助(日中ｻｰﾋﾞｽ支援型),株式会社　あきた福祉研究所,ＰＡＬ,秋田県能代市南元町４番６８号,0185-74-6272,0520200049,2019/10/1,18 ,能代山本
共同生活援助(介護ｻｰﾋﾞｽ包括型),株式会社　ＳＢ２企画,障がい者グループホームわおん秋田市さくら,秋田県秋田市桜三丁目１番１６号,018-853-0715,0520100157,2019/4/16,12 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　秋田ふくしハートネット,愛仙の華,秋田県仙北市西木町西荒井字番屋９４番地１,0187-42-8297,0521600023,2019/4/1,5 ,大曲仙北
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　緑光福祉会,グループホーム太郎・花子,秋田県秋田市旭川清澄町１５番１６号,018-889-7001,0520100140,2018/10/1,20 ,秋田周辺
