事業所番号,事業所名,障害福祉サービスの種類,市町村番号,事業所郵便番号,事業所住所,電話番号,FAX番号,設置者,代表者職名,代表者氏名,設置者郵便番号,設置者住所,設置者電話番号,設置者FAX番号,指定年月日,有効期限,備考
02-2-04-0026-1,グループホーム稲実,33共同生活援助（介護サービス包括型）,205五所川原市,037-0014,五所川原市大字稲実字稲葉38-13,0173-26-7088,0173-26-7088,社会福祉法人　あーるど,理事長,大橋一之,037-0014,五所川原市大字稲実字稲葉38-13,0173-26-7088,0173-26-7088,2018/04/01,2024/03/31,
02-2-04-0027-9,グループホームびーた,33共同生活援助（介護サービス包括型）,205五所川原市,037-0069,五所川原市若葉３丁目4-3,0173-33-0279,0173-33-0279,社会福祉法人　あーるど,理事長,大橋一之,037-0014,五所川原市大字稲実字稲葉38-13,0173-26-7088,0173-26-7088,2018/04/01,2024/03/31,
02-2-04-0028-7,グループホームえん,33共同生活援助（介護サービス包括型）,205五所川原市,037-0017,五所川原市大字漆川字鍋懸148-2,0173-26-1021,0173-26-1021,社会福祉法人　あーるど,理事長,大橋一之,037-0014,五所川原市大字稲実字稲葉38-13,0173-26-7088,0173-26-7088,2020/04/01,2026/03/31,
02-2-20-0016-8,あさひの家,33共同生活援助（介護サービス包括型）,209つがる市,038-3124,つがる市木造朝日8-19,0173-23-5717,0173-23-5717,特定非営利活動法人　あいうえおの会,理事長,奈良　衛,038-3164,つがる市木造柴田弥生田2-1,0173-42-7553,0173-49-1175,2019/12/01,2025/11/30,
02-2-04-0001-4,光ヶ丘,33共同生活援助（介護サービス包括型）,205五所川原市,037-0023,五所川原市大字広田字榊森48-5,0173-33-2329,0173-37-3112,社会福祉法人　愛生会,理事長,寺田スズヱ,037-0011,五所川原市大字金山字千代鶴142,0173-37-3111,0173-37-3112,2006/10/01,2024/09/30,
02-2-04-0002-2,松島寮,33共同生活援助（介護サービス包括型）,205五所川原市,037-0006,五所川原市松島町６丁目49,0173-35-8358,0173-37-3112,社会福祉法人　愛生会,理事長,寺田スズヱ,037-0011,五所川原市大字金山字千代鶴142,0173-37-3111,0173-37-3112,2006/10/01,2024/09/30,
02-2-04-0003-0,グループホーム幸の家,33共同生活援助（介護サービス包括型）,205五所川原市,037-0022,五所川原市大字梅田字福浦475-7,0173-28-2288,0173-28-2289,社会福祉法人　愛生会,理事長,寺田スズヱ,037-0011,五所川原市大字金山字千代鶴142,0173-37-3111,0173-37-3112,2006/10/01,2024/09/30,
02-2-04-0009-7,つばき寮,33共同生活援助（介護サービス包括型）,205五所川原市,037-0017,五所川原市大字漆川字玉椿71,0173-37-3111,0173-37-3112,社会福祉法人　愛生会,理事長,寺田スズヱ,037-0011,五所川原市大字金山字千代鶴142,0173-37-3111,0173-37-3112,2009/04/01,2027/03/31,
02-2-04-0010-5,あさひ寮,33共同生活援助（介護サービス包括型）,205五所川原市,037-0025,五所川原市大字七ツ館字虫流52-10,0173-37-3111,0173-37-3112,社会福祉法人　愛生会,理事長,寺田スズヱ,037-0011,五所川原市大字金山字千代鶴142,0173-37-3111,0173-37-3112,2009/04/01,2027/03/31,
02-2-04-0018-8,グループホームひとつ家,33共同生活援助（介護サービス包括型）,205五所川原市,037-0022,五所川原市梅田字福浦475-6,0173-23-0275,0173-28-2289,社会福祉法人　愛生会,理事長,寺田スズヱ,037-0011,五所川原市大字金山字千代鶴142,0173-37-3111,0173-37-3112,2012/04/01,2024/03/31,
02-2-04-0020-4,みなせ寮,33共同生活援助（介護サービス包括型）,205五所川原市,037-0004,五所川原市大字唐笠柳字皆瀬18-11,0173-35-0133,0173-37-3112,社会福祉法人　愛生会,理事長,寺田スズヱ,037-0011,五所川原市大字金山字千代鶴142,0173-37-3111,0173-37-3112,2012/04/12,2024/04/11,
02-2-04-0022-0,グループホームみのりの家,33共同生活援助（介護サービス包括型）,205五所川原市,037-0014,五所川原市大字稲実字稲葉47-31,0173-33-2288,0173-28-2289,社会福祉法人　愛生会,理事長,寺田スズヱ,037-0011,五所川原市大字金山字千代鶴142,0173-37-3111,0173-37-3112,2014/01/01,2025/12/31,
02-2-04-0025-3,グループホーム希望の家,33共同生活援助（介護サービス包括型）,205五所川原市,037-0024,五所川原市みどり町8丁目30,0173-28-2288,0173-28-2289,社会福祉法人　愛生会,理事長,寺田スズエ,037-0011,五所川原市大字金山字千代鶴142,0173-37-3111,0173-37-3112,2017/06/01,2023/05/31,
02-2-02-0025-7,グループホーム　なごみ,33共同生活援助（介護サービス包括型）,202弘前市,036-8154,弘前市大字豊原２丁目6-12,0172-88-7445,0172-34-0221,一般財団法人　愛成会,代表理事,佐々木　哲,036-8151,弘前市大字北園１丁目6-2,0172-34-1214,0172-34-1263,2020/04/01,2026/03/31,
02-2-07-0005-8,ハイツ　花つばき,33共同生活援助（介護サービス包括型）,301平内町,039-3321,東津軽郡平内町大字小湊字小湊86-1,017-752-0789,017-752-0789,社会福祉法人　青森県玉葉会,理事長,木村敏昭,039-3314,東津軽郡平内町大字盛田字堤ヶ沢126,017-755-3274,017-755-2698,2015/11/01,2027/10/31,
02-2-07-0002-5,障害者総合福祉センターなつどまり　スワンハイム,33共同生活援助（介護サービス包括型）,301平内町,039-3321,東津軽郡平内町大字小湊字小湊72-2,017-755-4001,017-755-4919,社会福祉法人　青森県すこやか福祉事業団,理事長,本堂一作,030-0822,青森市中央３丁目20-30,017-777-8118,017-735-1160,2006/10/01,2025/03/31,
02-2-02-0011-7,ゆうゆうハウス,33共同生活援助（介護サービス包括型）,202弘前市,036-8246,弘前市大字青樹町4-32,0172-32-2128,0172-32-2129,社会福祉法人　茜育友会,理事長,赤平悦男,036-8266,弘前市大字自由ケ丘４丁目1-1,0172-32-2128,0172-32-2129,2006/10/01,2024/09/30,
02-2-09-0005-4,グループホームこすもす,33共同生活援助（外部サービス利用型）,362大鰐町,038-0221,南津軽郡大鰐町大字虹貝字篠塚33-12,0172-48-3662,0172-48-2483,社会福祉法人　阿闍羅会,理事長,秋元広光,038-0232,南津軽郡大鰐町大字三ツ目内字水沢出口117-1,0172-48-2426,0172-48-2483,2016/11/01,2022/10/31,
02-2-09-0006-2,グループホームさくら,33共同生活援助（介護サービス包括型）,362大鰐町,038-0221,南津軽郡大鰐町大字虹貝字篠塚33-25,0172-47-5355,0172-47-5355,社会福祉法人　阿闍羅会,理事長,秋元広光,038-0232,南津軽郡大鰐町大字三ツ目内字水沢出口117-1,0172-48-2426,0172-48-2483,2017/08/01,2023/07/31,
02-2-06-0012-6,グループホームまちなか,33共同生活援助（外部サービス利用型）,206十和田市,034-0031,十和田市東三番町6-1　生きがいプラザ6階,0176-27-1456,0176-27-2794,社会福祉法人　生きがい十和田,理事長,山端政博,034-0031,十和田市東三番町1-6,0176-25-5678,0176-24-2794,2021/10/01,2027/09/30,
