事業所番号,申請者－名称,事業所－名称,事業所－郵便番号,市区町村,事業所－住所,Googleマップ,事業所－電話番号,事業所－FAX番号,指定年月日
4025300254,株式会社UNITY,スカイベース,827-0002,田川郡川崎町,福岡県田川郡川崎町池尻887-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d830.6563771917357!2d130.8040994292203!3d33.61501991563558!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3543d8052ad0abf1%3A0xf5fa076cf3457304!2z44CSODI3LTAwMDIg56aP5bKh55yM55Sw5bed6YOh5bed5bSO55S65rGg5bC777yY77yY77yX4oiS77yR!5e0!3m2!1sja!2sjp!4v1639615072899!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",0947-46-5080,0947-46-5080,2021/12/1
4027700295,株式会社みちくさ,ライフサポートしげずみ,802-0811,北九州市小倉南区,福岡県北九州市小倉南区重住二丁目４番２１号,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d828.3399503585966!2d130.88878592919795!3d33.85461709879123!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3543c0b9b8d4c37f%3A0x6f7e5c1ddbb00ea8!2z44CSODAyLTA4MTEg56aP5bKh55yM5YyX5Lmd5bee5biC5bCP5YCJ5Y2X5Yy66YeN5L2P77yS5LiB55uu77yU4oiS77yS77yR!5e0!3m2!1sja!2sjp!4v1639615655291!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",093-931-1090,093-931-1091,2021/12/1
4020000065,株式会社IPPO,ルーツ糸島高田,819-1102,糸島市,福岡県糸島市高田１丁目11-13,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1662.19568190326!2d130.232909123582!3d33.56918650720261!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3541ebd33bf60117%3A0x721722f4823dbe90!2z44CSODE5LTExMDIg56aP5bKh55yM57O45bO25biC6auY55Sw77yR5LiB55uu77yR77yR!5e0!3m2!1sja!2sjp!4v1639615682081!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",092-332-0781,092-332-0781,2021/12/1
4020200475,Uraraka株式会社,ヒマワリ,813-0001,福岡市東区,福岡県福岡市東区唐原1-4-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3320.3192461457384!2d130.4369902150888!3d33.674796880710396!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35418f2d25c2a94d%3A0x5f9abe92be5245c3!2z44CSODEzLTAwMDEg56aP5bKh55yM56aP5bKh5biC5p2x5Yy65ZSQ5Y6f77yR5LiB55uu77yU4oiS77yV!5e0!3m2!1sja!2sjp!4v1639615700274!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",080-2392-1587,,2021/11/1
4021200359,株式会社ＩＰＰＯ,ルーツ長住,811-1362,福岡市南区,福岡県福岡市南区長住２丁目五区51番地,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3325.108144611354!2d130.39615921508528!3d33.55056643074534!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x354191507c58b081%3A0x86000e213bf6befe!2z44CSODExLTEzNjIg56aP5bKh55yM56aP5bKh5biC5Y2X5Yy66ZW35L2P77yS5LiB55uu!5e0!3m2!1sja!2sjp!4v1639615910927!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",092-710-1333,092-710-1333,2021/11/1
4021600095,株式会社ラシエル,グループホームＲＡＳＩＥＬ昇町,816-0851,春日市,福岡県春日市昇町５丁目３３,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3325.973166605391!2d130.4473156150847!3d33.528083280751794!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x354190c9af69011b%3A0x4acff04f8417772a!2z44CSODE2LTA4NTEg56aP5bKh55yM5pil5pel5biC5piH55S677yV5LiB55uu77yT77yT!5e0!3m2!1sja!2sjp!4v1639615928610!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",092-501-0220,092-501-0230,2021/11/1
4022700530,株式会社　医療福祉ホールディングス,スターホームKURUME,839-0841,久留米市,福岡県久留米市御井旗崎4丁目6番30号2階,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3334.132198948834!2d130.56063001507883!3d33.31535918081291!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3541a6a5264bf6cd%3A0xc671ac8fa99ef49b!2z44CSODM5LTA4NDEg56aP5bKh55yM5LmF55WZ57Gz5biC5b6h5LqV5peX5bSO77yU5LiB55uu77yW4oiS77yT77yQIDLpmo4!5e0!3m2!1sja!2sjp!4v1639615944425!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",0942-43-3610,0942-43-3611,2021/11/1
4020200467,合同会社パラスポI`sm,パラスポ,812-0054,福岡市東区,福岡県福岡市東区馬出５-７-25　カルム東公園１階,,080-9109-4769,,2021/10/1
4020600161,社会福祉法人緑和会,グループホーム　くりえいと,811-4184,宗像市,福岡県宗像市くりえいと２丁目１１－８,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3314.8201874863607!2d130.56188501509263!3d33.81695308067052!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35422dcdf3b4a429%3A0x104b2225b0fd190b!2z44CSODExLTQxODQg56aP5bKh55yM5a6X5YOP5biC44GP44KK44GI44GE44Go77yS5LiB55uu77yR77yR4oiS77yY!5e0!3m2!1sja!2sjp!4v1639616027354!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",070-2373-7847,093-644-7005,2021/10/1
4021000239,株式会社ウイルファーマシー,グループホームウイル,814-0161,,福岡県福岡市早良区飯倉3-42-5,,092-821-8255,092-407-1280,2021/10/1
