番号,圏域,事業所番号,ｻｰﾋﾞｽ種類,事業所名,事業所郵便番号,事業所所在地1,事業所所在地2,事業所所在地3,事業所電話,指定後状態名,指定年月日
67,会津,0720800200,共同生活援助,虹,9660057,福島県喜多方市,井戸尻4135番1,,0241-23-7400,提供中,2021/12/1
20,県中,0720700616,共同生活援助,障害者支援事業所　メニーグレイス,9620036,福島県須賀川市,芹沢町４０番地１,,0248-75-3611,提供中,2021/11/15
85,相双,0723250155,共同生活援助,憩いの家,9790604,福島県双葉郡楢葉町,北田字鐘突堂３－２,,0240-26-0133,提供中,2021/6/1
9,県北,0721400091,共同生活援助,共同生活援助事業所　じぶんち,9691105,福島県本宮市,関下字下関下141番地,,0243-33-1512,提供中,2021/4/1
37,県南,0722900024,共同生活援助,PoPo.I,9638406,福島県東白川郡鮫川村,富田字中沢49-1,,0247-57-8581,提供中,2021/2/1
11,県北,0722020047,共同生活援助,グループホーム　山桜,9601501,福島県伊達郡川俣町,山木屋字せんきゅう11－9,,024-572-4363,提供中,2020/12/1
57,会津,0720200997,共同生活援助,グループホームそら,9650832,福島県会津若松市,天神町１２番１号,,0242-85-8580,提供中,2020/9/1
2,県北,0721000032,共同生活援助,ペット共生型グループホーム　すばる,9640916,福島県二本松市,向原259番地13の1,,0243-24-7738,提供中,2020/4/1
56,会津,0720200989,共同生活援助,障がい者グループホーム　エフケイ,9650842,福島県会津若松市,門田町中野字屋敷174,,050-68682424,提供中,2020/1/1
29,県南,0722830320,共同生活援助,Ｇ・Ｈ　ＡＲＵＫＵ,9610094,福島県白河市,追廻62,,0248-21-7556,提供中,2019/11/1
19,県中,0720700608,共同生活援助,グループホームひまわり荘,9620315,福島県須賀川市,畑田字古内112番地,,0248-94-6288,提供中,2019/8/1
83,相双,0723120143,共同生活援助,グループホーム浜事業所,9790403,福島県双葉郡広野町,下浅見川字広長８５番地２,,0240-23-6650,提供中,2019/4/1
54,会津,0720200955,共同生活援助,Ｌｉｆｅ　希星,9650841,福島県会津若松市,門田町日吉字笊籬田１９番地,,0242-23-7220,提供中,2018/5/12
55,会津,0720200971,共同生活援助,Ｗｅｌｆａｒｅ　希星,9650841,福島県会津若松市,門田町日吉字笊籬田１９番地,,0242-23-7220,提供中,2018/5/12
6,県北,0721301380,共同生活援助,グループホームきりん,9600611,福島県伊達市,保原町字城ノ内１０８番地１,,024-575-0267,提供中,2018/4/1
24,県中,0722210085,共同生活援助,グループホーム　天栄夢の丘,9620516,福島県岩瀬郡天栄村,小川字植松４番地,,0248-94-2593,提供中,2018/3/15
75,南会津,0722330149,共同生活援助,こまどり荘,9680442,福島県南会津郡只見町,大字長浜字久保田１７,,0241-72-8801,提供中,2017/12/22
53,会津,0720200914,共同生活援助,グループホームありか,9650864,福島県会津若松市,城西町６－３８,,0242-85-6068,提供中,2017/12/1
18,県中,0720700541,共同生活援助,たお　須賀川,9840005,福島県須賀川市,台166番地アルフェックスビル 305・405・501,,0248-94-4133,提供中,2017/9/1
28,県南,0720500271,共同生活援助,地域生活サポートセンター　優ライフ,9610951,福島県白河市,中町18-1,,0248-21-6941,提供中,2017/9/1
78,相双,0720900299,共同生活援助,グループホーム　ウィル,9760042,福島県相馬市,中村字川沼240番地,,0244-26-9204,提供中,2017/7/10
52,会津,0720200872,共同生活援助,みんなの家,9650816,福島県会津若松市,南千石町３－４,,0242-23-7723,提供中,2017/4/1
51,会津,0720200864,共同生活援助,Daichiといぶ樹,9650811,福島県会津若松市,和田１丁目７番４１号,,0242-36-7745,提供中,2016/12/5
50,会津,0720200849,共同生活援助,ひこうせん,9650849,福島県会津若松市,幕内南町１番３５号,,0242-36-7021,提供中,2016/8/1
49,会津,0720200807,共同生活援助,わたしたちの家,9650817,福島県会津若松市,千石町４－３２,,0242-28-6616,提供中,2016/7/1
72,会津,0722620127,共同生活援助,グループホーム　たかせ,9693542,福島県河沼郡湯川村,大字湊字村中甲209番地1,,0241-27-5041,提供中,2016/3/15
5,県北,0721301323,共同生活援助,グループホーム　スクラム,9600709,福島県伊達市,梁川町西塩野川3-1,,024-563-5457,提供中,2016/2/1
79,相双,0721200400,共同生活援助,共同生活援助　グループホーム　ふきのとう,9792521,福島県相馬市,赤木字一里壇277-6,,0244-32-0767,提供中,2015/12/14
