事業所名,事業者番号,郵便番号,事業所所在地,電話番号,FAX番号,法人名,指定年月日
日中支援型障がい者グループホーム綴～つづり～大垣静里１号館,2122101278,503-0983,大垣市静里町字下塩田1365-1-1,0584-71-6557,0584-71-7544,一般社団法人バンデ,2021/12/01
しふぉんHOUSE,2122600212,501-0521,揖斐郡大野町大字黒野2117-8,050-3586-0444,058-272-6789,一般社団法人日本看福協会,2021/11/01
指定共同生活介護れもん,2120103805,501-6133,岐阜市日置江1丁目47番1,058-213-6077,058-213-6077,特定非営利活動法人バウムカウンセリングルーム,2021/10/01
障がい者グループホーム綴～つづり～可児広見,2123100501,509-0214,可児市広見759-1,0574-60-1888,0574-60-1889,一般社団法人バンデ,2021/10/01
グループホームいちご,2123200228,501-0236,瑞穂市本田1285-5,050-8883-0556,,三方良し株式会社,2021/09/01
グループホームほうきぼし,2121400101,505-0116,可児郡御嵩町御嵩535-2,0574-67-6475,0574-67-6475,重田ゼネラルフード株式会社,2021/08/01
グループホームあらきの,2121400119,505-0121,可児郡御嵩町中1151-4,0574-50-7974,0574-50-7974,特定非営利活動法人　ささゆり,2021/08/01
サンフラワー,2123300010,509-4237,飛騨市古川町栄1-5-31,0577-70-1199,0577-77-9457,サン・ドリーム株式会社,2021/08/01
げんき岩崎,2120103797,502-0005,岐阜市岩崎2丁目9番地2,058-201-1833,058-214-3712,株式会社ヘルシーケアサービス,2021/07/01
ひまわりハウス,2122101260,503-0036,大垣市古知丸4-43-3,0584-51-8192,0584-81-2241,株式会社エンジェルネットワークス,2021/07/01
グループホーム　ル・リアン,2120103789,501-1175,岐阜市下西郷5丁目66番地1,058-215-5527,058-215-5528,社会福祉法人至誠会,2021/05/01
わおん岐阜,2120103755,500-8171,岐阜市高森町6丁目27-5,090-1569-4267,058-240-5969,エムクリエイト合同会社,2021/04/01
第２障がい者共同生活支援センター,2120103763,502-0926,岐阜市旦島2丁目10番6号,058-214-8831,058-214-8831,社会福祉法人岐阜市社会福祉事業団,2021/04/01
アミティホーム寺田,2120103771,501-0104,岐阜市寺田7丁目86番地1,058-213-1720,058-213-1830,医療法人和光会,2021/04/01
DA-N-RO大垣,2122101252,503-0824,大垣市旭町3-10　旭ビル,0584-84-4761,0584-84-4761,Sｔｅｐ　S.　P.　F株式会社,2021/04/01
グルホデザイン　グルホながら,2120103748,502-0061,岐阜市長良竜東町１丁目39番地1,058-213-1918,058-374-1908,株式会社ＧＬＰ,2021/03/01
グループホームこはる,2120600289,501-6063,羽島郡笠松町長池443,058-388-4990,058-388-4992,有限会社サポート,2021/03/01
グループホームあさひ,2121200303,505-0054,美濃加茂市加茂野町751-17,0574-66-6090,0574-66-8090,株式会社エンプルG,2021/02/01
グループホームほたるの里大垣,2122101245,503-0015,大垣市林町3-177-2,0584-47-6789,0584-47-6777,特定非営利活動法人大垣福祉事業支援友の会,2021/01/01
和宗株式会社　はぴくら,2120200759,501-3944,関市山田字太田1358-2,0575-29-9078,0575-29-9079,和宗株式会社,2021/01/01
和,2121100834,507-0801,多治見市東町2-47-6,0572-21-3182,0572-21-3188,株式会社ポパイ,2021/01/01
ミライエ,2120103730,501-1163,岐阜市西改田字米野88番地2,058-215-7002,058-215-7004,株式会社ミライエ,2020/11/01
オレンジ,2122101237,503-0936,大垣市内原1-10,0584-80-0295,0584-87-2235,株式会社ウィルケア,2020/11/01
さんスマイル,2120500695,509-0145,各務原市鵜沼朝日町2-40,058-338-8480,058-338-8481,一般社団法人あすの,2020/10/01
みらいのたね各務原,2120500687,501-6022,各務原市川島松倉町2202-29,0586-59-4956,0586-59-4956,株式会社イコール,2020/10/01
NOIE GINAN,2120600271,501-6012,羽島郡岐南町八剣9-110,058-245-2819,058-245-2820,株式会社ビジョナリー,2020/10/01
グループホーム　えむ,2120500661,504-0832,各務原市蘇原花園町4-59,058-389-1711,058-389-1480,株式会社ミズノハウス,2020/09/01
共同生活ラップ,2121100826,507-0048,多治見市池田町4-197,0572-51-7685,0572-43-6997,株式会社ヒューマンラップ,2020/08/01
なごみシェアハウス,2120103722,501-6115,岐阜市柳津町丸野1-3-1,058-214-4994,058-216-7281,シーダー・ジャパン株式会社,2020/06/01
グループホーム侑和,2123100477,509-0264,可児市鳩吹台2-30,0574-50-1371,0574-69-0259,一般社団法人侑和会,2020/05/01
