事業所番号,ｻｰﾋﾞｽ種類,事業所名,事業所郵便番号,事業所所在地1,事業所所在地2,事業所所在地3,事業所電話,事業所FAX,指定後状態名,指定年月日,法人種別名,法人(設置者)名,法人(設置者)所在地1,法人(設置者)所在地2,法人(設置者)所在地3,利用定員,施設等の区分
0121200505,共同生活援助,ヨツバメイツ恵庭,0611435,北海道恵庭市,中島町４丁目４－12,ハイツTKY,011-857-9570,,提供中,2021/11/9,営利法人,株式会社TCS　international,北海道札幌市豊平区,月寒中央通７丁目６番20号,JA月寒中央ビル２F,4,介護サービス包括型
0124102104,共同生活援助,グループホーム　リンツ,0850825,北海道釧路市,千歳町１０番３６号,,09050793693,,提供中,2021/11/1,営利法人,株式会社　リンツ,北海道釧路市,米町２丁目９番６号,,12,介護サービス包括型
0120701123,共同生活援助,はちのじ,0630804,北海道札幌市西区,二十四軒４条２丁目８－９,クイーンズコート１５号,080-58356053,011-758-0701,提供中,2021/11/1,営利法人,株式会社　ＤＷＣ,北海道札幌市北区,北７条西２丁目６番,３７山京ビル４Ｆ,4,介護サービス包括型
0120204771,共同生活援助,わおん　ネクス,0010910,北海道札幌市北区,新琴似１０条１１丁目４番８号,,011-790-6907,011-790-6908,提供中,2021/11/1,社団・財団,一般社団法人　ネクスマイル,北海道札幌市北区,北二十四条西４丁目３－６,シェーベル２４　２Ｆ－Ｃ,4,外部サービス利用型
0121001499,共同生活援助,ゆにさぽ緑ヶ丘,0690823,北海道江別市,緑ケ丘２７－１３,,011-398-6756,011-398-6757,提供中,2021/10/13,社団・財団,一般社団法人ＴＯＮ,北海道札幌市北区,北二十四条西３丁目２番１７号,,6,日中サービス支援型
0125701086,共同生活援助,グループホーム森,0680007,北海道岩見沢市,七条東3丁目9,,0126-26-3556,0126-26-2685,提供中,2021/10/1,営利法人,株式会社タメニ,北海道岩見沢市,幌向南一条5丁目400番地1,,19,介護サービス包括型
0122909245,共同生活援助,共同生活援助事業所なないろ,0700815,北海道旭川市,川端町５条８丁目３番１３号,,0166-76-9418,0166-76-9419,提供中,2021/10/1,営利法人,一般社団法人なないろ,北海道旭川市,川端町５条８丁目３番１３号,,8,介護サービス包括型
0121402341,共同生活援助,のこほーむ美原,0410806,北海道函館市,美原２丁目８番２７号,,0138-86-7564,0138-86-7565,提供中,2021/10/1,営利法人,株式会社　ティグル,北海道札幌市清田区,真栄四条２丁目２０－１０,,4,介護サービス包括型
0120901269,共同生活援助,障がい者グループホーム蜜柑,0060031,北海道札幌市手稲区,稲穂１条４丁目４番,,011-688-7808,011-688-7817,提供中,2021/10/1,営利法人,秀欧会福祉サービス株式会社,北海道札幌市中央区,南３条西１０丁目,Ｓ３１０ビル,4,日中サービス支援型
0120506597,共同生活援助,共同生活援助ルーム,0620931,北海道札幌市豊平区,平岸１条８丁目７－１７　Ｂ－１,,080-76565777,,提供中,2021/10/1,営利法人,合同会社ルーム,北海道札幌市中央区,南４条西３丁目２－３,第３２桂和ビル５階,4,外部サービス利用型
