申請者－名称,事業所－名称,事業所－郵便番号,事業所－住所,事業所－電話番号,事業所－FAX番号,サービス種類,事業所番号,指定年月日,廃止年月日,失効年月日
Ｉｎｆｉｎｉ株式会社,ここしあ,655-0006,兵庫県神戸市垂水区本多聞３丁目５-20-502,078-742-9450,078-742-9451,共同生活援助,2820800155,2021/12/1,,
ケアウィッシュ株式会社,グループホーム　ティップス西宮,663-8174,兵庫県西宮市甲子園四番町5番25号,080-4063-5711,050-3588-8286,共同生活援助,2820900351,2021/11/1,,
特定非営利活動法人三田市手をつなぐ育成会,ホームウッディ,669-1313,兵庫県三田市福島土地区画整理事業７街区－１,079-563-2933,079-563-2933,共同生活援助,2821200058,2021/11/1,,
レジリ合同会社,すてっぷホーム,669-3309,兵庫県丹波市柏原町柏原130-2,0795-78-9582,0795-78-9582,共同生活援助,2821300080,2021/11/1,,
有限会社ワイズケア,グループホーム　リエンド明石,674-0074,兵庫県明石市魚住町清水２１５５,078-995-8746,078-995-8747,共同生活援助,2822000218,2021/11/1,,
合同会社光陽企画,グループホームはこぶね,661-0033,兵庫県尼崎市南武庫之荘８丁目９番１３号,06-6437-5028,06-6437-5028,共同生活援助,2823000423,2021/11/1,,
一笑健命株式会社,フェリーチェ　野里,670-0811,兵庫県姫路市野里913番地1,079-263-8513,079-244-1195,共同生活援助,2824000380,2021/11/1,,
一般社団法人障害者自立支援センター,よつば郷,671-0243,兵庫県姫路市四郷町本郷150-1-A,0120-540-209,0791-62-5667,共同生活援助,2824000398,2021/11/1,,
特定非営利活動法人そら,ハニーサックル,669-5372,兵庫県豊岡市日高町栗栖野150-1,0796-20-2459,0796-20-2459,共同生活援助,2824400119,2021/10/15,,
株式会社甲南堂アニフルパートナーズ,アニフルメゾン矢問,666-0131,兵庫県川西市矢問２丁目５－２０,072-767-6591,072-767-6592,共同生活援助,2823100157,2021/10/1,,
株式会社ジー・ワイ・リアルエステート,ソアビータ,651-2116,兵庫県神戸市西区南別府１－18－16,078-975-7705,078-975-7705,共同生活援助,2825200229,2021/10/1,,
株式会社ミライエ,ぱあとなあ,675-0016,兵庫県加古川市野口町長砂747-9,079-455-7492,075-455-7492,共同生活援助,2822200156,2021/9/1,,
株式会社結,１ｓｔぷれいす塚口,661-0979,兵庫県尼崎市上坂部２－１４－２６,06-7777-1408,06-7777-1408,共同生活援助,2823000415,2021/9/1,,
Ａｓ　ｙｏｕ株式会社,Ａｓ　ｙｏｕ西飾磨,672-8084,兵庫県姫路市飾磨区英賀清水町2丁目31,079-258-7299,079-258-7299,共同生活援助,2824000372,2021/9/1,,
