事業所番号,ｻｰﾋﾞｽ種類,事業所名,事業所郵便番号,事業所所在地,事業所電話,事業所FAX,指定後状態名,指定年月日,法人名,法人所在地
0820800464,共同生活援助,ほほえみの杜,3010801,茨城県龍ケ崎市板橋町528番地5,0297-79-6711,0297-79-6711,提供中,2020/9/1,ケーエヌシー株式会社,茨城県龍ケ崎市塗戸町85番地1
0822500302,共同生活援助,ＰＩＥＣＥの家,3192144,茨城県常陸大宮市泉657-2,0295-55-8113,0295-55-8114,提供中,2020/9/1,特定非営利活動法人　恵,茨城県水戸市赤塚一丁目1972番地の15
0820300820,共同生活援助,クララホーム下高津,3000812,茨城県土浦市下高津1丁目4番地6号,029-811-8018,,提供中,2020/8/1,アプロム株式会社,茨城県つくば市東新井19番地37
0822001269,共同生活援助,グループホーム　クローバー,3001256,茨城県つくば市森の里35番の1,08027805594,,提供中,2020/8/1,株式会社飯島,茨城県つくば市玉取2345番地
0822200366,共同生活援助,グループホームこころ,3140012,茨城県鹿嶋市大字平井1128-140ＢＳマンション105号室,050-58986677,020-46234427,提供中,2020/8/1,合同会社ハートエステート,埼玉県加須市花崎北一丁目28番地144
0820102671,共同生活援助,共同生活援助水戸白鳥の湖,3100813,茨城県水戸市浜田町53リッツガーデンⅡ206号,029-210-1666,029-210-1666,提供中,2020/7/1,イチフジ合同会社,茨城県ひたちなか市大平1-3-18
0820200913,共同生活援助,ケアハウスひだか,3191414,茨城県日立市日高町２－３－１０,05058671308,02046641078,提供中,2020/7/1,ナッティジャパン合同会社,茨城県日立市弁天町一丁目9番3号
0823800487,共同生活援助,Thorn　Castle　うずら野,3000341,茨城県稲敷郡阿見町うずら野二丁目22-15,090-33333226,029-869-8010,提供中,2020/7/1,一般社団法人配慮者支援協会,東京都杉並区和田三丁目41番18-107号
0827300039,共同生活援助,アタラシアテラス1,3002353,茨城県つくばみらい市小張4147番地20,0297-38-5399,029-886-3887,提供中,2020/7/1,株式会社クリエイティブフィール,茨城県つくば市東光台三丁目１番地２
0821900586,共同生活援助,あいのさとＡ,3001235,茨城県牛久市刈谷町二丁目170番地12,029-895-3190,029-895-3190,提供中,2020/6/1,合同会社あいのさと,茨城県牛久市刈谷町二丁目170番地12
0822001244,共同生活援助,あいホームつくば,3002641,茨城県つくば市今鹿島5703番7,029-847-5100,029-847-5102,提供中,2020/6/1,社会福祉法人桐孝会,茨城県石岡市東光台二丁目8番3号
0822001251,共同生活援助,ごきげんファーム　緑が丘,3050863,茨城県つくば市緑が丘38番1,029-875-5660,,提供中,2020/6/1,特定非営利活動法人つくばアグリチャレンジ,茨城県つくば市大角豆2168-1
0820200905,共同生活援助,日立市障害者共同生活援助施設,3170065,茨城県日立市助川町５-１１-１,0294-24-5402,0294-24-5402,提供中,2020/5/1,日立市,茨城県日立市助川町1丁目1番1号
0820500478,共同生活援助,あずさ,3150125,茨城県石岡市山崎字園西３２２１番５,029-886-8812,029-875-9965,提供中,2020/5/1,特定非営利活動法人新和会,茨城県かすみがうら市稲吉南三丁目２番１号
0821000163,共同生活援助,グループホームにこにこ　たかさい棟,3040031,茨城県下妻市高道祖７５８－３,0296-49-6215,0296-49-6217,提供中,2020/5/1,株式会社ＭＹＳ,茨城県常総市馬場４８８番地
0821500246,共同生活援助,希望の家,3191714,茨城県北茨城市関南町神岡上737番地,0293-46-4688,0293-46-5570,提供中,2020/5/1,特定非営利活動法人夢工房,茨城県北茨城市磯原町豊田字花園田1207番地
0821900578,共同生活援助,グループホーム　キノッピの家,3001235,茨城県牛久市刈谷町1丁目34番地3号,080-54270884,029-307-4183,提供中,2020/5/1,合同会社キノッピカンパニー,茨城県取手市白山二丁目２３番地１３号
0822001236,共同生活援助,居場所ホーム　セレサ,3050863,茨城県つくば市緑が丘24-7,029-879-9500,029-879-9511,提供中,2020/5/1,特定非営利活動法人居場所サポートクラブロべ,茨城県つくば市島名2298番地（諏訪Ｃ12街区9）Ｘ－ＳＴＡＧＥビル1階006号
0823000187,共同生活援助,グループホーム銀河館,3111705,茨城県行方市内宿３７５－３２,0291-36-7188,0291-36-7188,提供中,2020/5/1,一般社団法人　ハッピープロジェクト,茨城県行方市山田３１７３番地４
0820102663,共同生活援助,グループホームわおん水戸,3100851,茨城県水戸市千波町2556-12,029-297-8578,029-297-8579,提供中,2020/4/1,ＳＬＩＮＥ株式会社,茨城県水戸市中央2丁目8番8号アシスト第2ビル7F
0822400321,共同生活援助,アイリス,3020109,茨城県守谷市本町２４４－１５,0297-21-3103,0297-21-3103,提供中,2020/4/1,株式会社海音社,茨城県坂東市辺田９４４番地５
0823100342,共同生活援助,希望のさくら,3113157,茨城県東茨城郡茨城町小幡北山2765-61,029-303-6997,029-303-6998,提供中,2020/4/1,社会福祉法人　梅の里,茨城県東茨城郡茨城町小幡北山2766番36
0823800461,共同生活援助,With　you　ホーム,3000331,茨城県稲敷郡阿見町阿見中島4302番地9,029-869-6233,029-889-2142,提供中,2020/4/1,社会福祉法人　あすなろ会,茨城県稲敷郡阿見町福田84番地の3
0823800479,共同生活援助,グループホーム　わおん　阿見,3000331,茨城県稲敷郡阿見町阿見4666-666,0804361-3386,029-845-4856,提供中,2020/4/1,合同会社トータルプランナー,茨城県土浦市荒川沖東二丁目２番７－３０４号
0820102648,共同生活援助,えみてる水戸見川,3100913,茨城県水戸市見川町2131番2502,029-297-7735,029-297-7736,提供中,2020/3/1,株式会社アーバンアーキテック,茨城県ひたちなか市勝田泉町4番17
0820102655,共同生活援助,ソーシャルインクルーホーム水戸酒門町,3100841,茨城県水戸市酒門町1011-1,029-246-6023,029-246-6027,提供中,2020/3/1,ソーシャルインクルー株式会社,東京都品川区南大井六丁目25番3号
0820200897,共同生活援助,リーブルふらわあ,3191222,茨城県日立市久慈町2-25-47,0294-59-3651,0294-59-3652,提供中,2020/2/1,株式会社塙建設,茨城県日立市大久保町五丁目４番１６号
0821400199,共同生活援助,障害者グループホームめだか,3180034,茨城県高萩市大字高萩字坂東塚763番10,0293-24-9996,0293-24-9009,提供中,2020/2/1,特定非営利活動法人高萩めだかの会,茨城県高萩市大字高萩字坂東塚７６３番１０
0822001228,共同生活援助,コミュニティ・ライフ高見原,3001252,茨城県つくば市高見原四丁目７番地１３,029-895-4561,029-895-4561,提供中,2020/1/1,株式会社アクティブ・シニア・ラボ,埼玉県川口市柳崎二丁目１７番１２号
0820300812,共同生活援助,グループホームおひさま高津,3000819,茨城県土浦市上高津新町11-21,0907252-3445,,提供中,2019/12/1,株式会社　パートナーズ,茨城県土浦市小松一丁目16番25号
0821700465,共同生活援助,グループホーム　ル・シアン,3020038,茨城県取手市下高井2145番地2,0297-78-6620,0297-78-6620,提供中,2019/12/1,株式会社ガイア,東京都港区三田一丁目6番3-618号
0821600624,共同生活援助,グループホーム　ともにーの家,3091717,茨城県笠間市旭町字西原545-7,0809567-3198,0296-73-5573,提供中,2019/11/1,特定非営利活動法人茨城自立支援センター,茨城県水戸市河和田一丁目1645番地の3
0820300804,共同生活援助,陽なたハウス,3000037,茨城県土浦市桜町1－1－19,05068731834,02046642392,提供中,2019/10/1,エミエル合同会社,茨城県土浦市桜町一丁目1番地19号
0820800456,共同生活援助,ノーザン,3010017,茨城県龍ケ崎市姫宮町200-3,080-59168654,,提供中,2019/10/1,株式会社Ｓ＆Ｔ９８,茨城県土浦市右籾2067番地2ウエストピーク102
0821600616,共同生活援助,グループホームともべ,3190202,茨城県笠間市下郷4536－115,0296-73-6001,0296-73-6002,提供中,2019/10/1,有限会社ともべ看護ケアセンター,茨城県笠間市鯉渕6528番地54
0822900817,共同生活援助,ぷらす　One,3140144,茨城県神栖市大野原3丁目10－6ガーデン五月A-2,07012022211,,提供中,2019/10/1,株式会社CARPE DIEM,茨城県鹿嶋市荒野2117番地
0822001210,共同生活援助,△　さんかく,3002663,茨城県つくば市鍋沼新田字長峰418番地12コーポいせざきＢ棟１０３,029-879-7799,029-879-7798,提供中,2019/8/1,株式会社櫛形,茨城県土浦市烏山一丁目393番地315
0822100848,共同生活援助,障がい者グループホーム　Only One,3120001,茨城県ひたちなか市佐和1480-16,029-212-7333,029-285-1156,提供中,2019/8/1,有限会社稲田製作所,茨城県ひたちなか市大字稲田865番地
0820500460,共同生活援助,障がい者共同生活援助事業所　うきうきハウス,3150037,茨城県石岡市東石岡五丁目2番12号,0299-26-1550,0299-26-8381,提供中,2019/7/1,医療法人幕内会,茨城県石岡市東石岡四丁目1番38号
0822100822,共同生活援助,グループホームつばさ,3120063,茨城県ひたちなか市大字田彦790番地9,029-274-4056,029-274-4056,提供中,2019/6/1,特定非営利活動法人ネモフィラの丘,茨城県ひたちなか市大字田彦748番地の3
0822001178,共同生活援助,ほっとハウス平沢Ａ,3004213,茨城県つくば市平沢1255-62,029-867-0025,029-867-1968,提供中,2019/5/1,社会福祉法人　筑峯学園,茨城県つくば市平沢655番地の4
0820102630,共同生活援助,グループホームうさぎの家,3100911,茨城県水戸市見和2丁目189番地27号,029-350-9720,029-350-9721,提供中,2019/4/1,有限会社　大槻流通サービス,茨城県水戸市酒門町2584番地
