事業所番号,事業所指定日,事業所名,法人名,住居名,郵便番号,住所,電話番号
0320100688,2021/11/1,いっぽ茶畑,株式会社一歩,いっぽ茶畑,020-0822,岩手県盛岡市茶畑一丁目６番９号,019-656-6363
320700065,2021/10/4,はぐくみ。,合同会社　mam's hug,はぐくみ。,028-0031,岩手県久慈市天神堂第36地割42番地10,0194-75-4807
0320100670,2021/10/1,風,一般社団法人新しい風,風,020-0861,岩手県盛岡市仙北二丁目12番32号,019-613-4188
0321600033,2021/10/1,グループホームいいのす,一般社団法人Ｉｉｎｏｓ,グループホームいいのす,020-0735,岩手県滝沢市篠木黒畑133番地1,080-2801-7555
0320900137,2021/8/1,にゃおん一関,合同会社ブドリの町から,にゃおん一関　弥栄,029-0211,岩手県一関市弥栄字釜の沢10番地２,0191-48-4848
0320100662,2021/7/1,グループホーム　さーち・らいと,合同会社サーチライト,グループホーム　さーち・らいと,020-0115,岩手県盛岡市館向町６番12号,070-1145-5570
0320500242,2021/7/1,グランドメゾンレーヴ,夢コーポレーション合同会社,グランドメゾンレーヴ,025-0244,岩手県花巻市湯口古堂12番地10,0198-41-6388
0320200223,2021/5/1,障がい者グループホームひまわり,株式会社　風和璃,障がい者グループホーム　ひまわり1,027-0203,岩手県宮古市津軽石第13地割208番地161,0193-65-6622
0320100654,2021/4/1,しいのみホームゆきわり,社会福祉法人岩手しいの木会,しいのみホームゆきわり,020-0136,岩手県盛岡市北天昌寺町８番20号,019-656-0065
0320800030,2021/4/1,はばたき,社会福祉法人　睦会,さるかいし,028-0542,岩手県遠野市早瀬町三丁目16番40号,0198-66-3383
0321500423,2021/4/1,グループホームこすもす小山,社会福祉法人奥州いさわ会,グループホームこすもす小山,023-0402,岩手県奥州市胆沢区小山字小十文字122,0197-47-2563
0320100647,2021/3/1,ホーミー盛岡,一般社団法人ホーミー,ホーミー盛岡１,020-0826,岩手県盛岡市神子田町11番13号ペガサスＢ－１号室,080-3317-8639
0320500234,2020/12/1,あそしえ花巻,アソシエホールディングス株式会社,あそしえ花巻,025-0312,岩手県花巻市二枚橋第6地割27番地2　コーポ北都102 101 108 202 203 211号,0197-64-4500
