,,所在地,名　称,郵便番号,住　所,電話番号,共同生活住居名称,事業者名称,"代表者職名",事業所番号,枝番,指定年月日,
,1,熊本市,医療法人　居中会,862-0938,熊本市長嶺東２丁目１１－９５,096-380-2038,ジョージハウス,医療法人　居中会,理事長,4320100011,1,2006年10月1日,外部サービス利用型
,2,熊本市,医療法人　居中会,862-0938,熊本市長嶺東２丁目１１－９５,096-380-2038,なでしこ,医療法人　居中会,理事長,4320100011,2,2006年10月1日,外部サービス利用型
,3,熊本市南区,森病院,861-4101,熊本市南区近見熊本市南区近見一丁目３番３２号,096-354-0177,グループホームわかば荘,医療法人　森和会,理事長,4320100029,1,2006年10月1日,外部サービス利用型
,4,熊本市,社会福祉法人やまびこ福祉会グループホーム事業,862-0972,熊本市新大江１－１２－１５,096-362-6160,グループホームすばる,社会福祉法人　やまびこ福祉会,理事長,4320100037,1,2006年10月1日,外部サービス利用型
,5,熊本市,社会福祉法人やまびこ福祉会グループホーム事業,862-0972,熊本市新大江１－１２－１５,096-362-6160,グループホームるぽの家,社会福祉法人　やまびこ福祉会,理事長,4320100037,2,2006年10月1日,外部サービス利用型
,6,熊本市,社会福祉法人やまびこ福祉会グループホーム事業,862-0972,熊本市新大江１－１２－１５,096-362-6160,グループホーム　ブルースカイ,社会福祉法人　やまびこ福祉会,理事長,4320100037,3,2006年10月1日,外部サービス利用型
,7,熊本市,社会福祉法人やまびこ福祉会グループホーム事業,862-0972,熊本市新大江１－１２－１５,096-362-6160,グループホームクローバー,社会福祉法人　やまびこ福祉会,理事長,4320100037,4,2006年10月1日,外部サービス利用型
,8,熊本市,オレンジホーム,861-5347,熊本市河内町船津２７１１－２,096-276-1831,オレンジホーム１,特定非営利活動法人　オレンジワークの会,理事長,4320100045,1,2006年10月1日,介護サービス包括型
,9,熊本市,オレンジホーム,861-5347,熊本市河内町船津２７１１－２,096-276-1831,オレンジホーム３,特定非営利活動法人　オレンジワークの会,理事長,4320100045,3,2006年10月1日,介護サービス包括型
,10,熊本市,オレンジホーム,861-5347,熊本市河内町船津２７１１－２,096-276-1831,オレンジホーム２,特定非営利活動法人　オレンジワークの会,理事長,4320100045,4,2006年10月1日,介護サービス包括型
,11,熊本市,オレンジホーム,861-5347,熊本市河内町船津２７１１－２,096-276-1831,オレンジホーム４,特定非営利活動法人　オレンジワークの会,理事長,4320100045,5,2006年10月1日,介護サービス包括型
,12,熊本市北区,ふれあいワーク　グループホーム事業所,861-8007,熊本市北区龍田弓削一丁目５番６８号志水第一ビル１-Ｃ,096-338-4213,ふれあい,社会福祉法人　わくわく,理事長,4320100086,1,2006年10月1日,介護サービス包括型
,13,熊本市北区,ふれあいワーク　グループホーム事業所,861-8007,熊本市北区龍田弓削一丁目５番６８号志水第一ビル１-Ｃ,096-338-4213,さくら　３－Ｂ,社会福祉法人　わくわく,理事長,4320100086,2,2006年10月1日,介護サービス包括型
,14,熊本市北区,ふれあいワーク　グループホーム事業所,861-8007,熊本市北区龍田弓削一丁目５番６８号志水第一ビル１-Ｃ,096-338-4213,さくら　３－Ｃ,社会福祉法人　わくわく,理事長,4320100086,3,2006年10月1日,介護サービス包括型
,15,熊本市北区,ふれあいワーク　グループホーム事業所,861-8007,熊本市北区龍田弓削一丁目５番６８号志水第一ビル１-Ｃ,096-338-4213,かりん　１－Ａ,社会福祉法人　わくわく,理事長,4320100086,4,2006年10月1日,介護サービス包括型
,16,熊本市北区,ふれあいワーク　グループホーム事業所,861-8007,熊本市北区龍田弓削一丁目５番６８号志水第一ビル１-Ｃ,096-338-4213,かりん　１－Ｂ,社会福祉法人　わくわく,理事長,4320100086,5,2006年10月1日,介護サービス包括型
,17,熊本市北区,ふれあいワーク　グループホーム事業所,861-8007,熊本市北区龍田弓削一丁目５番６８号志水第一ビル１-Ｃ,096-338-4213,かりん　１－Ｃ,社会福祉法人　わくわく,理事長,4320100086,6,2006年10月1日,介護サービス包括型
,18,熊本市北区,ふれあいワーク　グループホーム事業所,861-8007,熊本市北区龍田弓削一丁目５番６８号志水第一ビル１-Ｃ,096-338-4213,あんず,社会福祉法人　わくわく,理事長,4320100086,7,2006年10月1日,介護サービス包括型
,19,熊本市北区,ふれあいワーク　グループホーム事業所,861-8007,熊本市北区龍田弓削一丁目５番６８号志水第一ビル１-Ｃ,096-338-4213,さくら　３－Ａ,社会福祉法人　わくわく,理事長,4320100086,8,2006年10月1日,介護サービス包括型
,20,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,すみれホーム,社会福祉法人　恩賜財団済生会,支部長,4320100094,1,2006年10月1日,介護サービス包括型
,21,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,さいせい並建東館,社会福祉法人　恩賜財団済生会,支部長,4320100094,10,2006年10月1日,介護サービス包括型
,22,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,さいせい並建Ⅲ番館,社会福祉法人　恩賜財団済生会,支部長,4320100094,11,2006年10月1日,介護サービス包括型
,23,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,さいせい並建Ⅳ番館,社会福祉法人　恩賜財団済生会,支部長,4320100094,12,2006年10月1日,介護サービス包括型
,24,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,さいせい内田１番館・わかば,社会福祉法人　恩賜財団済生会,支部長,4320100094,13,2006年10月1日,介護サービス包括型
,25,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,さいせい内田２番館,社会福祉法人　恩賜財団済生会,支部長,4320100094,14,2006年10月1日,介護サービス包括型
,26,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,さいせい東２番館,社会福祉法人　恩賜財団済生会,支部長,4320100094,15,2006年10月1日,介護サービス包括型
,27,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,うちだ１番館・あおぞら,社会福祉法人　恩賜財団済生会,支部長,4320100094,16,2006年10月1日,介護サービス包括型
,28,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,さいせい並建Ⅴ番館,社会福祉法人　恩賜財団済生会,支部長,4320100094,17,2006年10月1日,介護サービス包括型
,29,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,すずらんホーム,社会福祉法人　恩賜財団済生会,支部長,4320100094,4,2006年10月1日,介護サービス包括型
,30,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,さくらホーム,社会福祉法人　恩賜財団済生会,支部長,4320100094,6,2006年10月1日,介護サービス包括型
,31,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,あさがおホーム,社会福祉法人　恩賜財団済生会,支部長,4320100094,7,2006年10月1日,介護サービス包括型
,32,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,さいせい並建Ⅰ番館,社会福祉法人　恩賜財団済生会,支部長,4320100094,8,2006年10月1日,介護サービス包括型
,33,熊本市,済生会グループホーム事業所,861-4127,熊本市内田町３５５５－１,096-223-3330,さいせい並建Ⅱ番館,社会福祉法人　恩賜財団済生会,支部長,4320100094,9,2006年10月1日,介護サービス包括型
,34,熊本市,しょうぶの里　グループホーム事業所,861-5284,熊本市小島9丁目１４－５８,096-311-4588,ホーム千金甲,社会福祉法人　熊本市手をつなぐ育成会,会長,4320100102,1,2006年10月1日,外部サービス利用型
,35,熊本市,しょうぶの里　グループホーム事業所,861-5284,熊本市小島9丁目１４－５８,096-311-4588,グループホームぎんなん,社会福祉法人　熊本市手をつなぐ育成会,会長,4320100102,2,2006年10月1日,外部サービス利用型
,36,熊本市,しょうぶの里　グループホーム事業所,861-5284,熊本市小島9丁目１４－５８,096-311-4588,グループホームあいりす,社会福祉法人　熊本市手をつなぐ育成会,会長,4320100102,3,2006年10月1日,外部サービス利用型
,37,熊本市,明和学園グループホーム事業所,861-4116,熊本市中無田町６４８番地,096-358-7871,ピース明和,社会福祉法人　勝縁会,理事長,4320100110,1,2006年10月1日,介護サービス包括型
,38,熊本市,明和学園グループホーム事業所,861-4116,熊本市中無田町６４８番地,096-358-7871,リバグリーン明和,社会福祉法人　勝縁会,理事長,4320100110,2,2006年10月1日,介護サービス包括型
,39,熊本市,ゆたか学園グループホーム事業所,861-5272,熊本市中島町７５７番２号,096-212-2005,サンホーム,社会福祉法人　西部福祉会,理事長,4320100128,1,2006年10月1日,外部サービス利用型
,40,熊本市,つばき学園グループホーム事業所,860-0072,熊本市花園７丁目１０９０－２,096-351-0828,つばき寮,社会福祉法人　大輪会,理事長,4320100136,1,2006年10月1日,介護サービス包括型
,41,熊本市,つばき学園グループホーム事業所,860-0072,熊本市花園７丁目１０９０－２,096-351-0828,野ばら寮,社会福祉法人　大輪会,理事長,4320100136,2,2006年10月1日,介護サービス包括型
,42,熊本市,つばき学園グループホーム事業所,860-0072,熊本市花園７丁目１０９０－２,096-351-0828,桃の里,社会福祉法人　大輪会,理事長,4320100136,3,2006年10月1日,介護サービス包括型
,43,熊本市,つばき学園グループホーム事業所,860-0072,熊本市花園７丁目１０９０－２,096-351-0828,南高江,社会福祉法人　大輪会,理事長,4320100136,4,2006年10月1日,介護サービス包括型
,44,熊本市,つばき学園グループホーム事業所,860-0072,熊本市花園７丁目１０９０－２,096-351-0828,柿原,社会福祉法人　大輪会,理事長,4320100136,5,2006年10月1日,介護サービス包括型
,45,熊本市北区,こころみ会グループホーム事業所,860-0083,熊本市北区大窪一丁目８番６号,096-378-5960,大窪台ハイツ,特定非営利活動法人　こころみ会,理事長,4320100151,1,2006年10月1日,外部サービス利用型
,46,熊本市,指定共同生活援助事業所　いこい計画,862-0970,熊本市渡鹿１丁目１番１号,096-288-1342,指定共同生活援助事業所　いこい計画,株式会社熊本地域協働システム研究所,代表取締役,4320100854,1,2010年2月8日,外部サービス利用型
,47,熊本市,指定共同生活援助事業所　いこい計画,862-0970,熊本市渡鹿１丁目１番１号,096-288-1342,明篤館分館,株式会社熊本地域協働システム研究所,代表取締役,4320100854,2,2010年2月8日,外部サービス利用型
,48,熊本市,熊本県あかねホーム,861-8043,熊本市戸島西3丁目4番150号,096-365-3387,熊本県あかねホーム,公益社団法人　熊本県精神科協会,会長,4320100862,1,2010年4月1日,外部サービス利用型
,49,熊本市中央区,グループホーム　わっしょい,860-0046,熊本市中央区横手一丁目2番90号,096-354-6339,グループホーム　わっしょい１,特定非営利活動法人一新福祉会,理事長,4320100888,1,2010年3月1日,外部サービス利用型
,50,熊本市,グループホーム　まんまん,861-8031,熊本市戸島町４５９－１,096-388-1133,ケアホームまんまんA棟,社会福祉法人　託麻会,理事長,4320100953,1,2014年4月1日,介護サービス包括型
,51,熊本市,グループホーム　まんまん,861-8031,熊本市戸島町４５９－１,096-388-1133,ケアホームまんまんB棟,社会福祉法人　託麻会,理事長,4320100953,2,2014年4月1日,介護サービス包括型
,52,熊本市,グループホーム自立応援団,861-5535,熊本市貢町７８０番８,096-288-1752,グループホーム親和荘,特定非営利活動法人自立応援団,理事長,4320100961,1,2010年4月1日,外部サービス利用型
,53,熊本市,グループホーム自立応援団,861-5535,熊本市貢町７８０番８,096-288-1752,オレンジハウス,特定非営利活動法人自立応援団,理事長,4320100961,2,2010年4月1日,外部サービス利用型
,54,熊本市,グループホーム自立応援団,861-5535,熊本市貢町７８０番８,096-288-1752,レガーメ藤崎宮,特定非営利活動法人自立応援団,理事長,4320100961,3,2010年4月1日,外部サービス利用型
,55,熊本市,「はなのいえ」,860-0073,熊本市島崎２丁目２６番４６号,096-355-0890,「はなのいえ」,日本ウイリング株式会社,代表取締役,4320100979,1,2010年4月1日,介護サービス包括型
,56,熊本市,ゆめくらし事業所,861-5503,熊本市明徳町７０７番地１,096-215-9101,オレンジハウス,社会福祉法人　明徳会,理事長,4320101175,1,2011年4月1日,介護サービス包括型
,57,熊本市,ゆめくらし事業所,861-5503,熊本市明徳町７０７番地１,096-215-9101,アクアテラス,社会福祉法人　明徳会,理事長,4320101175,2,2011年4月1日,介護サービス包括型
,58,熊本市,れん,861-8041,熊本市戸島５丁目８番６号,096-380-5752,れん,社会福祉法人　ライン工房,理事長,4320101191,1,2011年4月1日,介護サービス包括型
,59,熊本市,れん,861-8041,熊本市戸島５丁目８番６号,096-380-5752,ゆうゆう館,社会福祉法人　ライン工房,理事長,4320101191,2,2011年4月1日,介護サービス包括型
,60,熊本市,れん,861-8041,熊本市戸島５丁目８番６号,096-380-5752,かなで,社会福祉法人　ライン工房,理事長,4320101191,3,2011年4月1日,介護サービス包括型
,61,熊本市,グループホームロフティ日向,861-8006,熊本市龍田８丁目１８番３０号　１０５号室,0964-32-8522,グループホームロフティ日向Ⅰ,特定非営利法人　ジョブパートナー,理事長,4320101217,1,2011年4月8日,外部サービス利用型
