事業所番号,事業所名,事業所郵便番号,事業所所在地1,事業所所在地2,事業所所在地3,事業所電話,事業所FAX,指定後状態名,指定年月日,指定有効期限日,法人(設置者)名,法人(設置者)〒,法人(設置者)所在地1,法人(設置者)所在地2,法人(設置者)所在地3,法人(設置者)電話
2620101119,西陣工房グループホーム,6038332,京都府京都市北区,大将軍川端町１０番地,,075-465-0141,075-465-0141,提供中,2021/8/6,2027/8/5,社会福祉法人京都西陣福祉会,6038333,京都府京都市北区,大将軍東鷹司町１０９番地の１,,075-462-9101
2623500366,グループホーム相朋舎「めぶき」,6190214,京都府木津川市,木津殿城１４４番５,,0774-73-3668,0774-73-3667,提供中,2021/8/1,2027/7/31,（福）相楽福祉会,6190238,京都府相楽郡精華町,精華台５丁目１番地４,,0774-93-3277
2622901672,グループホームＲＡＳＩＥＬ八幡,6148347,京都府八幡市,橋本平野山８５－８,,075-925-6257,075-925-6258,提供中,2021/7/1,2027/6/30,株式会社ラシエル,5300011,大阪府大阪市北区,大深町１番１号ＬＩＮＫＳ・ＵＭＥＤＡ８階,,06-6556-6690
2623000763,グループホームいろは,6170847,京都府長岡京市,高台2丁目8－8,,080-41419583,,提供中,2021/6/22,2027/6/21,合同会社アロワン,6101124,京都府京都市西京区,大原野上里紅葉町2番地15,,050-37401515
2623400401,共同生活援助　ぽぽろん,6220002,京都府南丹市,園部町美園町四号２番地３,,0771-63-5977,0771-63-5978,提供中,2021/6/14,2027/6/13,株式会社プレール,6220002,京都府南丹市,園部町美園町四号２番地３,,09073484133
2621201090,社会福祉法人同胞会　グループホームおりぶ,6110043,京都府宇治市,伊勢田町毛語144番地１,,0774-46-5650,0774-46-5680,提供中,2021/6/11,2027/6/10,社会福祉法人　同胞会,6110043,京都府宇治市,伊勢田町毛語144番地１,,0774-20-6760
2620982369,グループホームかがやき,6128499,京都府京都市伏見区,下鳥羽南円面田町３３,,075-585-3556,075-605-5877,提供中,2021/6/1,2027/5/31,一般社団法人かがやき,6128498,京都府京都市伏見区,下鳥羽中円面田町３１,,075-606-2147
2623000755,グループホームたろすけ,6170853,京都府長岡京市,奥海印寺下条11－16,,090-85377315,,提供中,2021/5/14,2027/5/13,合同会社たろすけ,6180071,京都府乙訓郡大山崎町,字大山崎小字広敷10番地11,,075-202-2460
2624081655,ホームあらしやま,6160016,京都府京都市西京区,嵐山上海道町７８,,075-863-0721,075-863-0726,提供中,2021/5/1,2027/4/30,社会福祉法人なづな学園,6050877,京都府京都市東山区,渋谷通大和大路東入二丁目上新シ町３７２番地,,075-561-3355
2622901664,グループホームＲＡＳＩＥＬ石清水,6148087,京都府八幡市,八幡神原８６番,,075-981-3280,075-98193380,提供中,2021/4/20,2027/4/19,株式会社ラシエル,5300011,大阪府大阪市北区,大深町１番１号ＬＩＮＫＳ・ＵＭＥＤＡ８階,,06-6556-6690
2620982351,グループホーム　あじさいはうす,6128484,京都府京都市伏見区,羽束師鴨川町１９８番地１６,,070-84620225,075-950-0528,提供中,2021/4/19,2027/4/18,ライマー株式会社,6158213,京都府京都市西京区,上桂北村町２７１,,075-874-2109
2620101101,グループホームりずむ,6038105,京都府京都市北区,小山西玄以町２７番地９,,075-495-7600,075-495-7601,提供中,2021/4/1,2027/3/31,特定非営利活動法人りずむ,6038105,京都府京都市北区,小山西玄以町２７番地,,075-495-7600
2620982344,愛隣グループホーム,6128141,京都府京都市伏見区,向島二ノ丸町１５１番地５８　１街区６棟１０８号,,075-634-8920,075-634-8921,提供中,2021/4/1,2027/3/31,社会福祉法人イエス団,6510076,兵庫県神戸市中央区,吾妻通５丁目２番２０号,,078-221-9565
2621201082,カルミア宇治,6110011,京都府宇治市,五ケ庄新開７－３,,0774-66-4885,0774-66-4885,提供中,2021/2/10,2027/2/9,株式会社アルファ・プラス,5200105,滋賀県大津市,下阪本３丁目20-25,,050-3503-855
2621201074,レジリエンス,6110031,京都府宇治市,広野町一里山46-8,,0774-66-4548,0774-66-4554,提供中,2021/1/22,2027/1/21,株式会社アップサイクル・ジャパン,6048006,京都府京都市中京区,河原町通御池下る下丸屋町403番地　FISビル2Ｆ,,075-555-3420
2624181620,グループホーム壮栄,6078482,京都府京都市山科区,北花山大林町１８,林ハイツ２Ｆ,080-83328008,075-581-3399,提供中,2020/12/29,2026/12/28,一般社団法人得天,6078151,京都府京都市山科区,東野竹田１０番地３,,080-61400046
2620982336,日中サービス支援型グループホームすずらんの郷,6128216,京都府京都市伏見区,下中町６４８番地,,075-621-0330,075-621-0331,提供中,2020/12/1,2026/11/30,株式会社カネ伸,6100331,京都府京田辺市,田辺十曽２５－４,,0774-26-6625
2621600564,なごみの家　エムズ,6210043,京都府亀岡市,千代川町小林西芝１番４,,0901592-1870,,提供中,2020/12/1,2026/11/30,株式会社エムズ,6210854,京都府亀岡市,下矢田町二丁目３６番地４号,,0771225422
2620281200,ＳＴＡＹ　ＨＯＭＥ,6028158,京都府京都市上京区,下立売通千本東入下る中務町４９０番地２４,,075-384-0330,075-462-6161,提供中,2020/11/1,2026/10/31,株式会社ＳＴＡＹ　ＨＯＭＥ,6028266,京都府京都市上京区,浄福寺通中立売下る菱丸町１８０番地２,,075-406-7761
2622700447,グループホームこひつじの苑舞鶴,6250024,京都府舞鶴市,田中町１７番１,,0773-77-8805,0773-77-8806,提供中,2020/11/1,2026/10/31,社会福祉法人京都太陽の園,6220051,京都府南丹市,園部町横田前32,,0771-62-3364
2622700439,グループホームみずなぎ朝来,6250005,京都府舞鶴市,字朝来中小字滝ヶ鼻８１５－８,,0773-66-7201,0773-66-7202,提供中,2020/8/1,2026/7/31,（福）みずなぎ学園,6250014,京都府舞鶴市,鹿原２０９－３,,0773-63-5030
2621600556,きらきらホーム,6210805,京都府亀岡市,安町野々神５２－１１,,0771-24-2596,,提供中,2020/7/1,2026/6/30,社会福祉法人亀岡福祉会,6210033,京都府亀岡市,薭田野町佐伯大門30-1,,0771-24-2596
2623500358,チェリッシュスマイル木津,6190214,京都府木津川市,木津神田6番地83,,0774-26-3248,0774-26-3248,提供中,2020/6/1,2026/5/31,株式会社チェリッシュスマイルホーム,6190231,京都府相楽郡精華町,山田笛吹24番地,,0774-72-5689
2624181612,グループホームあおぞら,6078022,京都府京都市山科区,四ノ宮小金塚８番４２１,,075-634-8051,075-591-4173,提供中,2020/4/1,2026/3/31,一般社団法人あおぞら福祉会,6078022,京都府京都市山科区,四ノ宮小金塚８番地１５０,,075-634-8051
2624081648,ｃｏｌｌｅ,6158183,京都府京都市西京区,樫原分田２－１４,,075-874-3727,075-874-3088,提供中,2020/2/1,2026/1/31,一般社団法人暮らしランプ,6170002,京都府向日市,寺戸町岸ノ下５番地,,075-874-4727
2621000401,グループホームゆっくり大山崎,6180091,京都府乙訓郡大山崎町,字円明寺小字横林３０番,,075-925-9270,075-925-9271,提供中,2019/10/16,2025/10/15,一般社団法人重陽舎,6180091,京都府乙訓郡大山崎町,字円明寺小字横林30番地1,,075-925-9270
2622901649,共同生活ホーム　シュクレサレ八幡,6148002,京都府八幡市,八幡土井５３番地３　,八幡市地域生活支援拠点Ｉ－ＢＯＣ２４　２Ｆ,075-972-2027,075-925-8663,提供中,2019/10/1,2025/9/30,社会福祉法人朔日,6148002,京都府八幡市,八幡土井５３番地３,,0774-57-3711
2623000748,グループホーム響,6170813,京都府長岡京市,井ノ内下東ノ口14番地3,,075-201-1005,075-320-1163,提供中,2019/8/27,2025/8/26,ケイアンドワイ株式会社,6150862,京都府京都市右京区,西京極西池田町３２辰巳ビル２,,075-325-5695
2620782025,新明ハウス,6150864,京都府京都市右京区,西京極新明町３８,,075-748-9226,075-748-9226,提供中,2019/8/1,2025/7/31,特定非営利活動法人いくせい京都,6048441,京都府京都市中京区,西ノ京西中合町６１番地１,,075-812-3500
2621400841,共同生活ホーム　シュクレサレ精華,6190240,京都府相楽郡精華町,祝園西一丁目10番地15,,0774-98-4110,0774-98-4111,提供中,2019/8/1,2025/7/31,特定非営利活動法人朔日の会,6100121,京都府城陽市,寺田北東西１００番地,,0774-66-4723
2620982328,共同生活援助　ぐんぐんハウス　,6011361,京都府京都市伏見区,醍醐御霊ケ下町５２－６,,075-602-3390,075-612-7441,提供中,2019/5/1,2025/4/30,社会福祉法人ももやま福祉会,6128154,京都府京都市伏見区,向島津田町２１５番地,,075-602-3390
2621201066,グループホームＫＯＴＯ,6110011,京都府宇治市,五ケ庄芝ノ東１４－１７,,090-96256370,,提供中,2018/11/1,2024/10/31,合同会社ＫＯＴＯ,6038377,京都府京都市北区,衣笠西御所ノ内町３７,,090-96245164
2620781928,ハートフルトポス　エリヤ館,6168268,京都府京都市右京区,梅ケ畑古田町１２番地,,075-406-5970,075-406-5970,提供中,2018/9/15,2024/9/14,特定非営利活動法人ハートフルトポス,6038437,京都府京都市北区,大宮開町２１番地,,075-432-8717
2622901615,グループホームエスペリオ,6148365,京都府八幡市,男山金振６－６,,075-983-5763,075-983-5764,提供中,2018/7/1,2024/9/30,社会福祉法人　鳩ヶ峰福祉会,6148062,京都府八幡市,八幡清水井３０－３,,075-983-5763
2621201025,宇治小倉ホーム,6110021,京都府宇治市,宇治蔭山９番地１１,,0774-23-0250,0774-23-0251,提供中,2018/6/1,2024/5/31,社会福祉法人　南山城学園,6100111,京都府城陽市,富野狼谷２番地１,,0774-52-0425
2624181604,ファミリアハウス,6050952,京都府京都市東山区,今熊野宝蔵町６５,シャロン栗２階,09078788469,075-756-2090,提供中,2018/2/9,2024/2/8,特定非営利活動法人京都こうでねいと,6050952,京都府京都市東山区,今熊野宝蔵町６５,シャロン栗２階,075-756-2090
2624081630,グループホーム　ゆめみ,6158193,京都府京都市西京区,川島玉頭町40番地の6,,075-392-9300,075-392-9300,提供中,2017/12/1,2023/11/30,一般社団法人ちいさなゆめみ,6158193,京都府京都市西京区,川島玉頭町４０番地の６,,075-392-9300
2622901573,おこしやす,6148364,京都府八幡市,男山松里15-15,,075-925-6113,075-925-6211,提供中,2017/10/10,2023/10/9,特定非営利活動法人きろろん八幡,6148035,京都府八幡市,八幡小松７５,,075-982-5136
2622700421,ハウオリ,6240946,京都府舞鶴市,下福井１－２９,,0773-78-9180,0773-78-9190,提供中,2017/6/9,2023/6/8,株式会社ＮＩＮＥ,6240946,京都府舞鶴市,下福井８８２－２０,,0773-78-3006
2623000680,ジョイフル神足,6170833,京都府長岡京市,神足３丁目５－４,,075-935-0130,075-935-0131,提供中,2017/5/15,2023/5/14,社会福祉法人　向陵会,6170006,京都府向日市,上植野町五ノ坪１１－１,,075-935-7081
2624181505,グループホーム愛,6078126,京都府京都市山科区,大塚元屋敷町46-11,,075-205-4470,075-205-4469,提供中,2017/5/15,2023/5/14,一般社団法人大塚福祉会,6078126,京都府京都市山科区,大塚元屋敷町４６番地,,075-205-4470
2621100334,グループホームわお,6130024,京都府久世郡久御山町,森村東２２０,,075-632-1576,075-874-5510,提供中,2017/5/8,2023/5/7,社会福祉法人　久御山福祉会,6130024,京都府久世郡久御山町,森村東２２１,,075-632-1576
2620581732,あん’ず若杉,6018047,京都府京都市南区,東九条下殿田町２４番地,,075-694-1050,075-694-1611,提供中,2017/4/15,2023/4/14,社会福祉法人京都ライフサポート協会,6100313,京都府京田辺市,三山木中央九丁目８番地８,,0774-63-8050
