申請者－名称,事業所－名称,事業所－郵便番号,事業所－住所,事業所－電話番号,事業所－FAX番号,サービス種類,事業所番号,指定年月日,共生型
株式会社AK,g-port NAHA KUMOJI,900-0015,沖縄県那覇市久茂地3丁目28番3号,098-943-8280,098-901-7859,共同生活援助,4720100256,2021/12/1,
合同会社Common's,GH　Common's,901-1104,沖縄県島尻郡南風原町宮平746番地の4,098-851-7406,098-851-7406,共同生活援助,4720400102,2021/12/1,
株式会社AK,g-port NAHA AMEKU,900-0005,沖縄県那覇市天久1丁目13番19号,098-988-1797,098-901-7859,共同生活援助,4720600230,2021/12/1,
一般社団法人　門．Collective,ENTWa,901-2221,沖縄県宜野湾市伊佐３－１４－１０,098-894-4562,098-894-4562,共同生活援助,4720900143,2021/11/1,
合同会社トラスト,グループホーム日月,904-1301,沖縄県国頭郡宜野座村松田２６２９－５,098-968-3758,098-968-3758,共同生活援助,4721700120,2021/11/1,
合同会社やーる,グループホーム月光,907-0002,沖縄県石垣市真栄里204番地201,0980-87-9075,0980-87-9075,共同生活援助,4722600071,2021/11/1,
株式会社大翔,共同生活援助くれぱす仲間,901-2103,沖縄県浦添市仲間3丁目10番3号,080-3951-4306,098-875-3371,共同生活援助,4720300138,2021/10/1,
社会福祉法人琉球溢愛会,わらゆい,903-0111,沖縄県中頭郡西原町与那城185-6,098-945-5181,098-945-5195,共同生活援助,4720500091,2021/10/1,
ピースリバー株式会社,こだまの家　沖縄,901-2207,沖縄県宜野湾市神山１丁目１６番１３号,098-860-1637,098-860-1638,共同生活援助,4720900135,2021/10/1,
株式会社Soul Smile,グループホームよこた,904-0301,沖縄県中頭郡読谷村座喜味２７１７－１２７,098-958-0138,098-958-0138,共同生活援助,4721200105,2021/10/1,
合同会社ONE HEART,グループホームこころ,905-1411,沖縄県国頭郡国頭村辺土名1511番地4,0980-50-1013,0980-50-1014,共同生活援助,4721700112,2021/10/1,
株式会社Well-being,こころのおうち,901-2131,沖縄県浦添市牧港5丁目13番28号　Popular牧港　1F,098-943-1955,098-943-1956,共同生活援助,4720300146,2021/9/1,
合同会社ここいろ,共同生活援助グループホームありんこ,904-2211,沖縄県うるま市宇堅572番地,098-989-4001,098-989-4005,共同生活援助,4721300228,2021/9/1,
株式会社奏ホールディングス,奏・ＧＨ今帰仁,905-0401,沖縄県国頭郡今帰仁村仲宗根146-1,923-1666,923-1665,共同生活援助,4721700104,2021/9/1,
株式会社うららか,ぬくさん家　うららか,901-1301,沖縄県島尻郡与那原町板良敷696-2,098-889-3714,098-888-6622,共同生活援助,4721900076,2021/9/1,
合同会社solSTem,すてむはうす.asato,902-0067,沖縄県那覇市安里85番地5,098-861-1516,098-861-1516,共同生活援助,4720600222,2021/8/1,
合同会社心結ホーム,グループホーム三つ葉,904-2242,沖縄県うるま市高江洲991番地1の7,080-4273-7008,098-988-7008,共同生活援助,4721300210,2021/8/1,
