事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所所在地,法人名称,利用定員,指定日
2725200055,ひまわりの夢,080-8949-0604,,大阪市都島区（以下略）,株式会社ドリームエンタープライズ,4,2021/12/01
2722300189,グループホームまりん,050-1201-9387,0722-47-4914,大阪市阿倍野区（以下略）,株式会社ＯｎｅＲｉｎｇ,8,2021/12/01
2722000318,りあるらいふ,06-6556-6390,06-6539-8603,大阪市住吉区（以下略）,株式会社リアルター,4,2021/12/01
2720800479,デイジーブルーム公園南,06-6699-5501,06-6699-5502,大阪市東住吉区（以下略）,合同会社ＤａｉｓｙＢｌｏｏｍ,4,2021/12/01
2725800656,フリーライフ平野,080-4019-2990,072-921-1898,大阪市平野区（以下略）,株式会社フリーケア,8,2021/12/01
2725800649,こもれび,06-6760-5636,06-6760-5637,大阪市平野区（以下略）,一般社団法人こもれび,7,2021/12/01
2723300337,ウルウル,06-6147-7783,06-6147-8781,大阪市西成区（以下略）,ＯＩＳ株式会社,4,2021/12/01
2720400171,プライバシーアパートシェアハウスりぼん,06-7173-2055,06-7173-2055,大阪市港区（以下略）,株式会社ヘルプズ・アンド・カンパニー,5,2021/11/01
2722700107,グループホーム　きぼう,06-4394-5300,06-4394-5301,大阪市大正区（以下略）,ウィル・アップ株式会社,6,2021/11/01
2722200496,マルヒデホーム,06-6225-4588,06-6446-0760,大阪市生野区（以下略）,株式会社マルヒデ,5,2021/11/01
2723100174,共同生活援助　檣,06-6953-7147,06-6953-7148,大阪市旭区（以下略）,株式会社弘粋産業,4,2021/11/01
2723100182,グループホームまほらま旭,06-7508-6311,06-7501-5567,大阪市旭区（以下略）,株式会社まほらま,4,2021/11/01
2725900118,グループホーム　グリーンリーフ,090-4289-4974,,大阪市住之江区（以下略）,成尾商店株式会社,4,2021/11/01
2722000300,グループホームＦＡＴＥ,06-6786-8489,06-6786-8489,大阪市住吉区（以下略）,株式会社フェイト,4,2021/11/01
2720800461,グループホームぷらぷら,090-4304-9543,,大阪市東住吉区（以下略）,ａｃｅＮＥＴ株式会社,8,2021/11/01
2723300311,ＳＯＡＲホーム,06-7897-3278,06-7897-1515,大阪市西成区（以下略）,株式会社ＳＯＡＲ,4,2021/11/01
2723300329,グループホーム　あいか,090-2802-4748,,大阪市西成区（以下略）,株式会社アイカ,4,2021/11/01
2729400065,グループホームのぞみ,072-971-5931,072-971-5931,大阪市中央区（以下略）,合同会社のぞみ,4,2021/10/01
2721000137,今流行りのグループホーム,070-8545-1196,06-7635-4724,大阪市西淀川区（以下略）,今流行り合同会社,4,2021/10/01
2723000259,なごーむ,080-7571-5918,06-6829-3902,大阪市東淀川区（以下略）,株式会社コラブル,7,2021/10/01
2723000267,らいふ下新庄�T号館,050-5512-2099,06-6238-4134,大阪市東淀川区（以下略）,大阪福祉車輌株式会社,5,2021/10/01
2721500268,みらいホーム大今里,06-6271-2725,06-6271-2726,大阪市東成区（以下略）,株式会社ミライエ,9,2021/10/01
2721500276,グループホーム　タイヨウ１,090-1486-0031,06-7635-9123,大阪市東成区（以下略）,株式会社福未来,5,2021/10/01
2722200470,結,06-6753-8074,06-6753-8075,大阪市生野区（以下略）,株式会社　ナチュラル・ヒーリング・インターナショナル,10,2021/10/01
2722200488,紬,06-6753-8445,06-6753-8446,大阪市生野区（以下略）,株式会社ナチュラルクリニック,10,2021/10/01
2722000292,グループホームレベルズ,06-6537-9015,,大阪市住吉区（以下略）,株式会社ｌｅｖｅｌｓ,7,2021/10/01
2720800446,グループホームラウレア,072-813-9850,06-6224-3660,大阪市東住吉区（以下略）,株式会社ＴＡＩＣＨＩ,4,2021/10/01
2720800453,グループホーム　ひだまり東住吉,06-4708-5981,06-4708-5982,大阪市東住吉区（以下略）,株式会社アヴェイル,4,2021/10/01
2720800438,グループホームジョイフルａｉｒ,06-6532-6555,06-6777-1655,大阪市東住吉区（以下略）,ｆｏｒｃｅｓ株式会社,4,2021/10/01
2725800615,ひまわり,06-6791-6822,06-6791-6822,大阪市平野区（以下略）,株式会社ともだち,4,2021/10/01
2725800623,グループホーム　ベル,06-7777-1699,06-7632-3059,大阪市平野区（以下略）,株式会社ＯＮＥＬ．,4,2021/10/01
2725800631,グループホームブリッチ喜連西,06-6760-5649,06-6760-5622,大阪市平野区（以下略）,デリファーム株式会社,4,2021/10/01
2723300295,ほりごたつのおうち,06-6625-8812,06-6625-8813,大阪市西成区（以下略）,一般社団法人聖天下就労支援センター,8,2021/10/01
2723300303,いろり,06-6652-3705,06-6652-3706,大阪市西成区（以下略）,一般社団法人いろり,4,2021/10/01
2721800031,あしすとドーム前,06-7410-4951,06-7410-4951,大阪市西区（以下略）,株式会社サイバー・セキュリティ・ソリューションズ,4,2021/09/01
