通し番号,事業所番号,コード,サービス種類,事業所名,郵便番号,所在市町,所在地,電話番号,FAX番号,指定年月日,法人(設置者)名
582,,33 ,共同生活援助,叶う家,840-0016,佐賀市,末広2丁目4-15,0952-97-8155,0952-97-8156,2022.1.1,株式会社　ＺＥＲＯ
581,4120102860 ,33,共同生活援助,グループホームかがやき川副,840-2203,佐賀市,川副町大字早津江1354番地1,0952-37-1622,0952-37-1622,2021.11.1,株式会社　MLS
580,4121700175 ,33 ,共同生活援助,グループホーム　福禄寿,842-0064,神埼市,千代田町渡瀬476番地,0952-44-2700,0952-44-2701,2021.8.1,株式会社　Ｆｏｒｕｔｕｎａ
579,4120560505 ,33 ,共同生活援助,障がい者グループホームイマジン,849-0122,上峰町,前牟田1546-15,080-7942-2015,092-558-2609,2021.8.1,一般社団法人　スプレンデント
577,4120102852 ,33 ,共同生活援助,グループホームヴィライマヅＡ,840-0035,佐賀市,西与賀町字今津乙23番1,0952-29-8583,0952-29-8584,2021.8.1,株式会社　ＫＡｌａｂｏ
578,4120102845 ,33 ,共同生活援助,ルーツ金立町,849-0906,佐賀市,金立町大字金立2503-2,0952-37-7636,0952-37-7636,2021.8.1,株式会社　ＩＰＰＯ
574,4121700167 ,33 ,共同生活援助,らぽーる神埼,842-0053,神埼市,千代田町直鳥150番地9,0952-37-3522,0952-37-3522,2021.6.1,株式会社　レグザーク
576,4120600327 ,33 ,共同生活援助,ルーツ晴気,845-0014,小城市,小城町晴気904-1,0952-72-1080,0952-72-1080,2021.6.1,株式会社　ＩＰＰＯ
575,4120200698 ,33 ,共同生活援助,グループホーム　サライ,847-0111,唐津市,佐志字鴻ノ巣372番地1,080-8567-7108,-,2021.6.1,特定非営利活動法人　ひなた
572,4121200200 ,33 ,共同生活援助,グループホームほっこり村,846-0002,多久市,北多久町大字小侍1261番地1,0952-75-3113,0952-75-3118,2021.5.1,特定非営利活動法人　のんびらぁと
571,4120960341 ,33 ,共同生活援助,ルーツ白石,849-1112,白石町,福田1619-6,0952-65-9446,0952-65-9446,2021.5.1,株式会社　ＩＰＰＯ
573,4120200680 ,33 ,共同生活援助,おはようハウス,847-0841,唐津市,朝日町960番地31,0955-53-8633,-,2021.5.1,一般社団法人　ONE
569,4120600319 ,33 ,共同生活援助,共同生活援助　星めぐりの歌,845-0032,小城市,三日月町金田1177番地5,0952-65-5332,0952-65-5332,2021.4.1,一般社団法人　あまね
570,4120102837 ,33 ,共同生活援助,エレファント,840-0027,佐賀市,本庄町本庄1147番地5,0952-41-8416,0952-41-8417,2021.4.1,株式会社　パロン
568,4120102829 ,33 ,共同生活援助,グループホームかがやき嘉瀬,840-0863,佐賀市,嘉瀬町大字十五1444番地1,0952-37-3844,0952-37-3844,2021.1.1,株式会社　MLS
566,4121400529 ,33 ,共同生活援助,グループホーム　道の家,843-0024,武雄市,武雄町大字富岡11083番地1,0954-26-8100,0954-26-8120,2020.10.1,特定非営利活動法人　ゆとり
567,4121100798 ,33 ,共同生活援助,かいかん家　平田,816-0076,鳥栖市,平田町1153番地フレンディー平田原Ｂ棟,0942-50-8931,0942-50-8932,2020.10.1,株式会社　KAIKA
565,4120102811 ,33 ,共同生活援助,グループホーム　たかハウス,849-0937,佐賀市,"鍋島一丁目14-22
トゥインクルアルディアB",0952-97-9833,0952-97-9835,2020.6.1,株式会社　福祉ネットサービス
564,4121100780 ,33 ,共同生活援助,障がい者グループホーム幸の花,841-0017,鳥栖市,田代大官町818番1の1,0942-50-5708,0942-50-5709,2020.5.1,エナピース　株式会社
563,4121500302 ,33 ,共同生活援助,グループホームサンライズ鹿島,849-1304,鹿島市,大字中村1808番地2,0954-60-5311,0954-60-5311,2020.4.1,株式会社　アシスト佐賀
560,4121300505 ,33 ,共同生活援助,グループホーム　ビラ・ラズリ,848-0035,伊万里市,二里町大里乙3391番地3,0955-21-0111,0955-21-0117,2020.4.1,社会福祉法人　東方会
561,4121100772 ,33 ,共同生活援助,しゃぼん,841-0062,鳥栖市,幸津町980-1,0942-85-9151,0942-85-9151,2020.4.1,社会福祉法人　かだん
562,4120800109 ,33 ,共同生活援助,グループホームAqour,844-0028,有田町,南山丁886番地2,080-5272-8537,,2020.4.1,医療法人　山のサナーレ・クリニック
559,4120102803 ,33 ,共同生活援助,ライフサポートみらいず,849-0203,佐賀市,久保田町大字新田3799番地1号B-103,0952-68-3338,0952-68-3338,2020.4.1,一般社団法人　みらいず
558,4120102795 ,33 ,共同生活援助,花木凛　多布施,840-0842,佐賀市,多布施3-12-14,,,2020.2.1,株式会社　NiCO
557,4121400511 ,33 ,共同生活援助,ハートフルホームまんてん甘久,843-0001,武雄市,朝日町大字甘久字石木172-1,0954-33-0022,0954-33-0022,2019.11.1,株式会社　愛まんてん
556,4120560497 ,33 ,共同生活援助,そわん,849-0111,みやき町,白壁2484-18,0942-85-7507,0942-85-7508,2019.10.4,一般社団法人　OUTft
554,4120102787 ,33 ,共同生活援助,東佐賀ホーム,840-0051,佐賀市,田代一丁目3番7号,0952-29-7342,-,2019.10.1,一般財団法人　佐賀県手をつなぐ育成会
