No.,申請者名称,事業所番号,枝番／ 連番,事業所名称,事業所郵便番号,事業所所在地,事業所電話番号,事業所FAX番号,共同生活住居名称,共同生活住居〒,共同生活住居所在地,主たる対象者(身体障害者),主たる対象者(知的障害者),主たる対象者(精神障害者),主たる対象者(難病等対象者),異動年月日,異動区分,施設等の区分,利用定員数
14,特定非営利活動法人精神障害者の自立生活をすすめる会,1120600034,1,テレサ,3440023,埼玉県春日部市大枝１３５－７武里団地５－１－５０８,048-971-2500,048-940-9710,テレサ,3440000,埼玉県春日部市大枝１３５－７武里団地５－１－５０８,×,×,○,×,2021/11/1,変更,1:介護サービス包括型,3
15,特定非営利活動法人精神障害者の自立生活をすすめる会,1120600034,2,テレサ,3440023,埼玉県春日部市大枝１３５－７武里団地５－１－５０８,048-971-2500,048-940-9710,テレサ,3440026,埼玉県春日部市武里中野７３４－５４,×,×,○,×,2021/11/1,変更,1:介護サービス包括型,4
16,特定非営利活動法人精神障害者の自立生活をすすめる会,1120600034,3,テレサ,3440023,埼玉県春日部市大枝１３５－７武里団地５－１－５０８,048-971-2500,048-940-9710,テレサ,3440000,埼玉県春日部市大枝１１８－６武里団地５－２２－５０１,×,×,○,×,2021/11/1,変更,1:介護サービス包括型,3
17,特定非営利活動法人精神障害者の自立生活をすすめる会,1120600034,4,テレサ,3440023,埼玉県春日部市大枝１３５－７武里団地５－１－５０８,048-971-2500,048-940-9710,千間台西１丁目,3430041,埼玉県越谷市千間台西１－６－２２,×,×,○,×,2021/11/1,変更,1:介護サービス包括型,4
18,特定非営利活動法人精神障害者の自立生活をすすめる会,1120600034,5,テレサ,3440023,埼玉県春日部市大枝１３５－７武里団地５－１－５０８,048-971-2500,048-940-9710,千間台西５丁目,3430041,埼玉県越谷市千間台西５－８－７,×,×,○,×,2021/11/1,変更,1:介護サービス包括型,4
46,フィールド・マーケティング・ジャパン株式会社,1120601412,4,笑顔の家,3440011,埼玉県春日部市藤塚字五屋1102-35,048-884-8085,048-884-8085,笑顔の家米島,3440115,埼玉県春日部市米島９２９番地８,×,○,○,×,2021/11/1,新規,1:介護サービス包括型,4
61,株式会社息栖,1120601503,4,グループホーム　アミー,3440112,埼玉県春日部市西金野井２９１－１７７,048-796-0418,048-793-4128,アミー西金野井B棟,3440112,埼玉県春日部市西金野井１８４６－６,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,5
68,彩ディア合同会社,1120601537,1,おーきに,3440064,埼玉県春日部市南４丁目１６番１７号,048-871-6906,048-871-6465,わおん春日部南,3440064,埼玉県春日部市南４丁目１６番１７号,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,7
69,彩ディア合同会社,1120601537,2,おーきに,3440064,埼玉県春日部市南４丁目１６番１７号,048-871-6906,048-871-6465,わおん一ノ割,3440031,埼玉県春日部市一ノ割１丁目２３番地９号,×,○,○,×,2021/11/1,新規,1:介護サービス包括型,6
74,合同会社依,1120601578,2,グループホームゆり,3440016,埼玉県春日部市本田町２丁目８２－１,048-872-6230,048-796-4099,グループホームどんぐり,3440011,埼玉県春日部市藤塚７９９－１０,×,○,○,×,2021/11/1,新規,1:介護サービス包括型,4
