申請者－法人種別,申請者－名称,申請者－郵便番号,申請者－住所,,申請者－電話番号,事業所－名称,事業所－郵便番号,事業所－地域,事業所－住所,事業所－電話番号,ｻｰﾋﾞｽ種類,事業所番号,指定年月日
非営利法人（ＮＰＯ）,特定非営利活動法人つつじ,1040051,東京都中央区,佃２－１７－８佃区民館２階,03-6673-8081,ホームつつじ,1040054,東京都中央区,＊,03-3532-6921,共同生活援助,1320200031,2006/10/1
地方公共団体（市町村）,中央区,1048404,東京都中央区,築地１－１－１,03-3546-5697,中央区立知的障害者グループホーム　フレンドハウス京橋,1040031,東京都中央区,京橋２－６－７,03-3561-6327,共同生活援助,1320200049,2006/10/1
社会福祉法人（社協以外）,社会福祉法人武蔵野会,1920083,東京都八王子市,旭町１２－４　日本生命八王子ビル２階２０１,042-631-6341,しろがねホーム,1080072,東京都港区,白金２－６－１２,03-3443-6151,共同生活援助,1320300021,2006/10/1
社会福祉法人（社協以外）,社会福祉法人家庭授産奨励会,1060031,東京都港区,西麻布３－１９－１６,03-3408-1545,家庭授産奨励会,1070052,東京都港区,赤坂６－４－８,03-3408-1545,共同生活援助,1320300039,2006/10/1
社会福祉法人（社協以外）,社会福祉法人かがやき会,1690075,東京都新宿区,高田馬場１－１５－６,03-3200-9376,グループホーム「麻の葉」,1690051,東京都新宿区,＊,03-3200-9376,共同生活援助,1320400037,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人クレインハウス,1600023,東京都新宿区,西新宿８－１３－１８,03-3361-5334,グループホームＧＨつる,1600023,東京都新宿区,＊,03-3361-5334,共同生活援助,1320400060,2006/10/1
社会福祉法人（社協以外）,社会福祉法人あかねの会,1790074,東京都練馬区,春日町１－１８－３６,03-3577-7421,第六みずき寮,1130024,東京都文京区,西片１－３－８,03-3577-7110,共同生活援助,1320500059,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人台東メンタルコミュニティ,1110035,東京都台東区,西浅草２－８－８,03-3843-1035,チェリーハウス,1110035,東京都台東区,＊,03-3843-1035,共同生活援助,1320600065,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人自立支援センターふるさとの会,1110031,東京都台東区,千束４－３９－６－４階,03-3876-8150,ふるさとホーム,1310033,東京都墨田区,＊,03-5819-3254,共同生活援助,1320700048,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人トモニ福祉サービス,1310041,東京都墨田区,八広１－１６－１８,03-3618-0337,トモニ福祉サービス八広第一,1310041,東京都墨田区,八広１－１６－１８,03-3618-0337,共同生活援助,1320700121,2006/10/1
社会福祉法人（社協以外）,社会福祉法人江東楓の会,1360074,東京都江東区,東砂６－２－１４　３Ｆ,03-5617-3750,グループホームかえで,1360076,東京都江東区,南砂１－６－９,03-3646-8691,共同生活援助,1320800053,2006/10/1
社会福祉法人（社協以外）,社会福祉法人東京都手をつなぐ育成会,1600023,東京都新宿区,西新宿７－８－１０（オークラヤビル内）,03-5389-2600,城東地域生活支援センター,1350044,東京都江東区,越中島２－５－２,03-3643-5086,共同生活援助,1320800111,2006/10/1
社会福祉法人（社協以外）,社会福祉法人おあしす福祉会,1360076,東京都江東区,南砂３－４－６,03-3690-5959,第２クローバーハウス,1360076,東京都江東区,＊,03-3699-1142,共同生活援助,1320800194,2006/10/1
社会福祉法人（社協以外）,社会福祉法人ゆめグループ福祉会,1360073,東京都江東区,北砂１－１４－４,03-3644-6773,ひだまり第３,1360072,東京都江東区,大島３－２５－５,03-5609-5012,共同生活援助,1320800210,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人サンフラワーハウス,1360072,東京都江東区,大島７－１８－７,03-3684-2015,サンフラワーハウス,1360072,東京都江東区,＊,03-3684-2015,共同生活援助,1320800228,2006/10/1
社会福祉法人（社協以外）,社会福祉法人ゆめグループ福祉会,1360073,東京都江東区,北砂１－１４－４,03-3644-6773,丸山ハイツ,1360071,東京都江東区,＊,03-5626-4121,共同生活援助,1320800236,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人あゆみの会,1360073,東京都江東区,北砂５－１－１６,03-5690-4353,あゆみ寮,1360073,東京都江東区,北砂５－１－１６,03-5690-4353,共同生活援助,1320800277,2006/10/1
社会福祉法人（社協以外）,社会福祉法人福栄会,1400002,東京都品川区,東品川３－１－８,03-5479-2981,品川区立西大井つばさの家,1400015,東京都品川区,西大井５－７－２４,03-3777-1478,共同生活援助,1320900085,2006/10/1
社会福祉法人（社協以外）,社会福祉法人品川総合福祉センター,1400003,東京都品川区,八潮５－１－１,03-3790-4729,鮫洲なぎさの家,1400011,東京都品川区,東大井１－３－１０,03-5460-8605,共同生活援助,1320900093,2006/10/1
